File	Mentions
GEM_1927_68	A.A.M. Stols
GEM_1927_68	M. Stol
GEM_1927_70	H. Marsman
GEM_1927_74	Henri Bruning
GEM_1927_74	Albert Kuyle
GEM_1927_74	Anton van Duinkerken
GEM_1927_74	Albe
GEM_1927_74	Herman Gorter
GEM_1927_76	Albe
GEM_1927_76	Albert Helman
GEM_1927_86	Top Naeff
GEM_1927_86	Dirk Coster
GEM_1927_86	Frits Hopman
GEM_1927_86	Anton van Duinkerken
GEM_1927_87	Wies Moens
GEM_1927_87	A.A.M. Stols
GEM_1927_87	Anton van Duinkerken
GEM_1927_87	M. Stol
GEM_1927_94	Felix Timmermans
GEM_1927_94	Henri Bruning
GEM_1927_94	Willem Nieuwenhuis
GEM_1927_94	Herman Robbers
GEM_1927_94	A.M. de Jong
GEM_1927_94	Blaise Cendrars
GEM_1927_94	Karel van de Woestijne
GEM_1927_95	Guido Gezelle
GEM_1927_95	Caesar Gezelle
GEM_1928_6	Marnix Gijsen
GEM_1928_7	Julien Benda
GEM_1928_8	Miguel de Unamuno
GEM_1928_8	Albe
GEM_1928_8	Albert Helman
GEM_1928_9	H. Marsman
GEM_1928_9	William Blake
GEM_1928_9	Gerard Bruning
GEM_1928_9	Jan Engelman
GEM_1928_10	Jop Pollmann
GEM_1928_10	Willem Pijper
GEM_1928_13	Multatuli
GEM_1928_13	Willem Nieuwenhuis
GEM_1928_13	Albe
GEM_1928_13	Jan Engelman
GEM_1928_14	Jan Engelman
GEM_1928_15	Selma Lagerlöf
GEM_1928_15	Dop Bles
GEM_1928_15	Willem ten Berge
GEM_1928_15	A.M. de Jong
GEM_1928_16	Willem ten Berge
GEM_1928_18	Hans van Zijl
GEM_1928_22	H. Marsman
GEM_1928_22	A. den Doolaard
GEM_1928_22	Constant van Wessem
GEM_1928_22	Jan Engelman
GEM_1928_22	Jan Greshoff
GEM_1928_22	Pieter van der Meer
GEM_1928_22	Menno ter Braak
GEM_1928_22	Erich Wichman
GEM_1928_22	Albert Kuyle
GEM_1928_22	C.J. Kelk
GEM_1928_22	Albe
GEM_1928_22	Pieter van der Meer de Walcheren
GEM_1928_22	D.A.M. Binnendijk
GEM_1928_23	Anton van Duinkerken
GEM_1928_24	Albe
GEM_1928_25	J.C. Hol
GEM_1928_25	Hendrik Andriessen
GEM_1928_25	Willem Pijper
GEM_1928_25	Alphons Diepenbrock
GEM_1928_26	Albe
GEM_1928_28	J.C. van Schagen
GEM_1928_29	Willem ten Berge
GEM_1928_30	J.C. van Schagen
GEM_1928_31	Marnix Gijsen
GEM_1928_31	Leopold
GEM_1928_31	A. Roland Holst
GEM_1928_31	Karel van de Woestijne
GEM_1928_31	Jan Engelman
GEM_1928_32	J. Slauerhoff
GEM_1928_32	Jan Engelman
GEM_1928_35	J.C. van Schagen
GEM_1928_36	Willem ten Berge
GEM_1928_37	Willem ten Berge
GEM_1928_38	Willem ten Berge
GEM_1928_39	Jozef Muls
GEM_1928_39	Henk Kuitenbrouwer
GEM_1928_40	Joep Nicolas
GEM_1928_41	Albert Kuyle
GEM_1928_41	Albe
GEM_1928_44	Willem Maas
GEM_1928_45	Erich Wichman
GEM_1928_49	Jan Engelman
GEM_1928_49	Huib Luns
GEM_1928_51	A. den Doolaard
GEM_1928_52	Joris Iven
GEM_1928_52	Willem Maas
GEM_1928_52	Joris Ivens
GEM_1928_53	Henk Kuitenbrouwer
GEM_1928_53	H.G. Cannegieter
GEM_1928_54	Felix Timmermans
GEM_1928_54	Henri Bruning
GEM_1928_54	Willem Nieuwenhuis
GEM_1928_54	Erich Wichman
GEM_1928_54	Albert Kuyle
GEM_1928_54	Anton van Duinkerken
GEM_1928_54	Albe
GEM_1928_54	A.M. de Jong
GEM_1928_54	Jacob van Lennep
GEM_1928_55	Joris Iven
GEM_1928_55	Joris Ivens
GEM_1928_58	Jean Cocteau
GEM_1928_58	Menno ter Braak
GEM_1928_59	Anton van Duinkerken
GEM_1928_60	Albe
GEM_1928_63	Jan Engelman
GEM_1928_64	Willem ten Berge
GEM_1928_65	Pierre Kemp
GEM_1928_66	H. Marsman
GEM_1928_66	Herman van den Bergh
GEM_1928_66	Albert Helman
GEM_1928_66	Albert Kuyle
GEM_1928_66	Albe
GEM_1928_67	H. Marsman
GEM_1928_70	Multatuli
GEM_1928_70	Lodewijk van Deyssel
GEM_1928_71	Albert Verwey
GEM_1928_71	Theo Bogaerts
GEM_1928_71	Omar Khayyam
GEM_1928_71	Li Tai Po
GEM_1928_71	C.J. Kelk
GEM_1928_71	Albe
GEM_1928_71	Joris Eeckhout
GEM_1928_75	A. den Doolaard
GEM_1928_76	Ernest Michel
GEM_1928_76	Willem ten Berge
GEM_1928_76	Anton van Duinkerken
GEM_1928_76	Marnix Gijsen
GEM_1928_77	Pierre Kemp
GEM_1928_78	Pierre Kemp
GEM_1928_78	Jozef Cantré
GEM_1928_79	Cornelis Veth
GEM_1928_83	Marie Koenen
GEM_1928_83	Theo Vonck
GEM_1928_86	Hans van Zijl
GEM_1928_87	Lambert Melissen
GEM_1928_88	Pierre Kemp
GEM_1928_88	A. den Doolaard
GEM_1928_88	Albert Helman
GEM_1928_88	Jozef Cantré
GEM_1928_88	Albe
GEM_1928_89	Paul Claudel
GEM_1928_89	Gerard Wijdeveld
GEM_1928_90	Willem Nieuwenhuis
GEM_1928_90	Gerard Bruning
GEM_1928_91	J.C. van Schagen
GEM_1928_91	Jozef Cantré
GEM_1928_93	Anton van Duinkerken
GEM_1928_94	Mien Proost
GEM_1928_95	Mien Proost
GEM_1928_96	Anton van Duinkerken
GEM_1928_96	A.M. de Jong
GEM_1928_97	Willem ten Berge
GEM_1928_101	Felix Timmermans
GEM_1928_101	Henri Bruning
GEM_1928_101	A.A.M. Stols
GEM_1928_101	M. Stol
GEM_1928_101	Ernest Michel
GEM_1928_101	Herman Poort
GEM_1928_101	W.L.M.E. van Leeuwen
GEM_1928_101	Bernard Verhoeven
GEM_1928_101	Anton van Duinkerken
GEM_1929_1	J.C. Bloem
GEM_1929_1	Novalis
GEM_1929_1	Gerard Bruning
GEM_1929_1	Jan Engelman
GEM_1929_4	J.C. van Schagen
GEM_1929_5	Albert Kuyle
GEM_1929_5	Albe
GEM_1929_6	Gerard Wijdeveld
GEM_1929_7	Albe
GEM_1929_7	Albert Helman
GEM_1929_8	Anton van Duinkerken
GEM_1929_9	Mien Proost
GEM_1929_11	Erich Wichman
GEM_1929_11	C.J. Kelk
GEM_1929_11	Herman van den Bergh
GEM_1929_12	H. Marsman
GEM_1929_12	Albert Helman
GEM_1929_12	Gerard Bruning
GEM_1929_12	Plato
GEM_1929_12	J.C. van Schagen
GEM_1929_12	Ernest Michel
GEM_1929_12	Joep Nicolas
GEM_1929_12	Albert Kuyle
GEM_1929_12	Otto van Rees
GEM_1929_12	Anton van Duinkerken
GEM_1929_12	Albe
GEM_1929_12	Jan Engelman
GEM_1929_15	Paul Claudel
GEM_1929_15	Gerard Bruning
GEM_1929_15	Hendrik de Vries
GEM_1929_15	Novalis
GEM_1929_15	Anton van Duinkerken
GEM_1929_16	A. den Doolaard
GEM_1929_17	Albe
GEM_1929_17	Albert Helman
GEM_1929_18	Pieter van der Meer de Walcheren
GEM_1929_18	Pieter van der Meer
GEM_1929_18	Willem ten Berge
GEM_1929_22	Albert Kuyle
GEM_1929_22	Albe
GEM_1929_23	Pierre Kemp
GEM_1929_24	Anton van Duinkerken
GEM_1929_26	Frederik van Eeden
GEM_1929_26	Henk Kuitenbrouwer
