Author	POD
J.G. van der Ploeg	Rotterdam
A. Kessen	Leiden
J.Th. Spaan	
Charles Baudelaire	Parijs
Barend de Goede	
Maria Dermoût	Den Haag
H.W.J. Kroes	Den Haag
J.A. Rispens	Deventer
W.A.F. Stokhuyzen	Den Haag
H.I. Keus	
Marius Wilhelm Holtrop	
W.R. Heere	Tilburg
J.P. van Praag	
H.C. van de Hulst	
Sj. Groenman	
A.D. de Groot	Schiermonnikoog
Jan Peters	
C.A.R. Graamans	
J.J. Vriend	
Charles Wentinck	
Leo van Egeraat	Ulvenhout
G.J. de Grooth	
A. van Lennep	
Remco Campert	
Jan de Jong	
D.Th. Enklaar	Utrecht
J.H.J. van der Pot	Oegstgeest
Maps Valk	
H. Wielek	Amsterdam
A.A.M. Horsting-Boerma	
William Faulkner	Oxford
Ch.G. Matser	
W.A. Braasem	Hoorn
Justus Meyer	
Cola Debrot	Amsterdam
W.Gs Hellinga	Londen
Guillaume van der Graft	Utrecht
Hendrik Jan Reinink	Den Haag
K.H.R. de Josselin de Jong	Warnsveld
Ad den Besten	Amstelveen
Pier Westra	
M.J. Francken	
Charles Webster	
Ernest Barker	
William A. Robson	
Oscar R. Hobson	
William Wilson	
Thomas Hardy	
Dylan Thomas	New York
Max Schuchart	Den Haag
Doris Lessing	Londen
Reyner Banham	
Robert Melville	
Marius Flothuis	Amsterdam
C. Nicolaï	
Charles Boost	Amsterdam
F. Bender	
J.H. Huizinga	
H.H.J. de Leeuwe	Amersfoort
Leo Herberghs	Heerlen
A.C. Niemeyer	
J. Petri	
Herman van den Bergh	Rome
David Koning	Laren
Adriaan van der Veen	Den Haag
Harriët Laurey	Lage Mierde
J.H. Kernkamp	Bilthoven
G.H.M. van Huet	Rotterdam
Alfred Kossmann	Amsterdam
Anton Kloppers	Grächen
Arthur Lehning	Lys-St.-Georges
J.G. de Beus	Founex
A. Graafhuis	
Jan Wit	Groningen
A. Alberts	Amsterdam
Bernard Vlekke	
W.H. Somermeyer	
Leo Vroman	Fort Worth
L.P.J. Braat	
Josepha Mendels	Eindhoven
Jan Vermeulen	Nijmegen
B.W. Schaper	Oegstgeest
Yge Foppema	Oegstgeest
Jacques den Haan	Beekbergen
C. Vermeer	
J.J. Beljon	Oud-Beijerland
Christiaan Terpstra	Vriezenveen
Michaël Deak	
J.B. Charles	Oegstgeest
Ido Keekstra	tussen Hoofddorp en Heemstede
Rie Cramer	Laren
J.H. Plokker	Utrecht
Nico Rost	Amsterdam
August Defresne	Amsterdam
Bert Schierbeek	Amsterdam
Marga Minco	
Nico Wijnen	
Jan Meulenbelt	
Abel J. Herzberg	Amsterdam
E.A.A. Vermeer	
P.J. Arisz	
Maarten Mourik	Callantsoog
K. Lekkerkerker	Amsterdam
Hafis	
C. Bittremieux	Herent
Adriaan Morriën	Amsterdam
Liane Bruylants	Veurne
J.H. Schouten	
Henk Romijn Meijer	Souillac
G.J. de Vries	Baarn
M. Vasalis	Roden
J. Valentin	
W.F. Dankbaar	Oosterwolde
Evert Werkman	
Rein Blijstra	Amsterdam
Reinder P. Meijer	Londen
Klaas Wiersma	
Elsa Frank	
Louis Saalborn	Amsterdam
Ary den Hertog	Nijmegen
Ben Stroman	Haarlem
B. Hunningher	
Jan Walravens	Ukkel
W.P. Pos	Amsterdam
Luisa Treves	
E. Elias	Delft
Wim Vesseur	
A. Pitlo	Overveen
Luc Lutz	Rotterdam
G.A.M. Eickholt	
Tjalie Robinson	Den Haag
Léon de Greiff	Bogotá
Elizabeth da Costa Gomez	
J.J.A. Mooij	
C.L.W. Fock	Den Haag
Pieter S. Gerbrandy	Den Haag
J.D. Meerwaldt	Amsterdam
James S. (Jim) Holmes	Amsterdam
Dirk Volker Nijland	
Max Croiset	Den Haag
Cees Nooteboom	
M.H.J. Verjans	
Nel Noordzij	Thonon-les-Bains
G. Quispel	
Jan van Gelder	
Lies Wolters	
Bernhard prins der Nederlanden	Utrecht
Fernán Silva Valdés	
J.A. van Praag	Amsterdam
Pablo Neruda	Santiago
Ventura García Calderón	Parijs
José Gorostiza	
A. Methöfer	
Rufino Blanco Fombona	Buenos Aires
Joaquín E. Weiss y Sánchez	
Menotti del Picchia	São Paolo
Martha de Castro	
W.H. van Helsdingen	Den Haag
A.I. Spits	
E.P.M. Tervooren	
A. Jonkers	
R.A.J. van Lier	Wageningen
J. van de Walle	Hertogenbosch
Henk Dennert	
W.J. Jansen	
Frans Debrabandere	
Piet Apol	Amsterdam
P.A.H. de Boer	Oegstgeest
Th. Govaart	Breda
J.M. de Jong	Düsseldorf
Franz Hellens	Brussel
Marcel Coole	Brussel
Bert van Aerschot	Mechelen
Paul Snoek	Tielt
Elisabeth Eybers	Amsterdam
Willem Elsschot	Antwerpen
J. Bruyn	
Reindert Jacobsen	
E.M. Janssen Perio	
Ary Delen	Antwerpen
Gerrit-Hugo Pronk	
Aleida Gerarda Schot	Amsterdam
Willem van Elden	
Antonio Machado	
Martin Adán	
Manuel Bandeira	Rio de Janeiro
Augusto Roa Bastos	Asunción
Carlos Drummond de Andrade	Rio de Janeiro
Cecília Meireles	Rio de Janeiro
José-Maria de Heredia	
Jules Supervielle	Parijs
Erik Lindegren	Stockholm
Amy van Marken	Amsterdam
Gunnar Ekelöf	
Artur Lundkvist	Stockholm
Edith Södergran	Rosjtsjino
August von Platen	
Attila József	
Sándor Weöres	
David Rokeah	
Pham Van Ky	
Makhali-Phal	
Pierre Brachin	
Waring Cuney	
Leslie M. Collins	
Owen Dodson	
Don Maquis	
Charles Causley	
Ed. de Jonghe	
Pieter Lieftinck	
J. Prins	
Egbert Krispyn	
A. van der Schalk	
Charley Toorop	Bergen
J.H. Leopold	Rotterdam
John Rädecker	Amsterdam
Dick Voerman	
Li Tai Po	
Gerrit Borgers	Leidschendam
Cenne de la Chitarra	Arezzo
G.J. Resink	Jakarta
B.M. Baxter	
J.H. Loenen	
Chr.J. van Geel	Amsterdam
Heere Heeresma	Laren
Beb Vuyk	Blaricum
J.L. Heldring	
W. Banning	Driebergen
S. Dresden	Leiden
Henri Schadee	
L.G. Kortenhorst	
P.M. Boer-den Hoed	Amsterdam
L.J. Hartog	
Fred Pfeifer	
Theo Joekes	Den Haag
Martien J.G. de Jong	
Victor Varangot	
S.F. Witstein	Alphen a/d Rijn
Ton van Oudwijk	Utrecht
Wilfred Smit	Rotterdam
Saskia Ferwerda	Utrecht
Catharina Kortebos	
Th.G. Sinnige	Arnhem?
J.G.M. Moormann	Lent
Piet Calis	
Catharina van der Linden	Steenwijk
Walter Debrock	Sint-Pieters-Jette
B.H.D. Hermesdorf	Nijmegen
C.J.E. Dinaux	Heerde
Victor Spoor	
C.P. Gunning	
Corly Verlooghen	
Louise van Santen	
Roger Pieters	
F. van der Blij	
S. Carmiggelt	Amsterdam
Claude Korban	
C.J. Greshoff	
A. Middeldorp	Voorhout
Fokke Sierksma	Leiden
Jaap Harten	Den Haag
Mia van der Haegen	
Marcel Leemans	
Marcel van de Velde	
Lode de Visscher	
C.O. Jellema	Leens
B. Nieskens-Isphording	
Ivo Schöffer	Leiden
Paul de Wispelaere	
Wim Hijmans	
P. Gros	
J.I.S. Zonneveld	Zeist
Eddy de Vries	
Paul R. Rijkens	
A. Schaafsma	
B.J. van Eyk	Amsterdam
J.M.J. Kooy	
H.F. van Panhuys	
Maarten Rooij	Haarlem
H. Nieuwenhuis	
J. Kassies	
Hella S. Haasse	Amsterdam
Arie Querido	
J. Droogleever Fortuyn	Arnhem
M. Gruber	Haren
Nol Gregoor	Doorn
H.W.F. Stellwag	Baarn
Sigmund Freud	Londen
H.P.H. Jansen	Leiden
H. van Riessen	
Jan Wolkers	Den Burg
Max Nord	Amsterdam
K. Schippers	
Jacques Hamelink	
B.V.A. Röling	
C.A. Zaalberg	Oegstgeest
Francisco Carrasquer	Tárrega
Tom Kerber	
A.J. Dekker	
Paul Rodenko	Warnsveld
James Brockway	Den Haag
M.D. Ozinga	Utrecht
Karel De Clerck	
Willem van Toorn	
Lizzy Sara May	Hoorn
François Meyer	
H.A. Combé	
Marcus de Jong	
Tj.S. Visser	Bussum
V.W.D. Schenk	
G.A. van Poelje	Den Haag
H. Leffelaar	
Jan Aler	
Martin J. Klein	
Burny Every	
E. Eijkemans	
Han Lammers	
Marko Fondse	Amsterdam
Ger Harmsen	
Jakobus Kloek	
F.E. Frenkel	
Leo Ross	
Ewald Vanvugt	
C.B. Vaandrager	Rotterdam
Felipe M. Lorda Alaiz	Barcelona
A. Kramer	
K. Rijsdorp	
P. Hummelen	
G. Puchinger	Lunteren
H. van der Linde	
Albert Besnard	Bloemendaal
W. Boswinkel	Amsterdam
J. Brugman	
Floris Evers	
Hendrik van Teylingen	Amsterdam
W. Gortzak	Amsterdam
Carl Friedrich von Weizsäcker	
Jan Hanlo	Maastricht
David Maarschalk	Den Haag
Joris Diels	
Bertram Joseph	
Ben Jonson	
John Milton	
N. Brugman-Begemann	
Samuel Johnson	
Erik Vos	
Coenraad van Emde Boas	Amsterdam
Neeltje Maria Min	
J.A.G. Tans	Groningen
H.C.J. Duijker	Leiden
Ton Lathouwers	
A.M. Meerloo	
Huug Kaleis	
D.U. Stikker	Wassenaar
S.C. Derksen	
S.R. de Groot	
H.J.A. Hofland	Amsterdam
Frits Kief	
Nico Scheepmaker	Amsterdam
Abram de Swaan	
Henk Sneevliet	Amersfoort
Wim Klinkenberg	
Sem Davids	Castricum
J.W. Holsbergen	Amsterdam
Henk van Kerkwijk	
Bob den Uyl	Rotterdam
Herman Gorter	St-Joost-Ten-Noode, Brussel
Helen Knopper	
H.M. Voetelink	Amsterdam
Michaël Slory	Paramaribo
R. Roegholt	Amsterdam
Peter van Lieshout	
Peter Schat	
J.H. Donner	Amsterdam
Wim Zaal	
Mark Insingel	
Rommert Boonstra	
Willem Frederik Hermans	Utrecht
Harry Mesterom	
Marianne Meester	
Sonja Prins	Breda
J.H. Mak	
Martin Hartkamp	
H.C. ten Berge	
Henry Faas	Amsterdam
Benno J. Stokvis	
Frank Diamand	
Arnold de Vos	
Paul Steenhauer	
G. van Benthem van den Bergh	
Hans Vlek	Hertogenbosch
Cees de Jong	
H.A. Gomperts	Draguignan
A.J. Westerman Holstijn	
Joop den Uyl	Amsterdam
Daniel de Lange	
J. Sperna Weiland	Rotterdam
J.W. Hingst	
Henriette van Duin	
Paulien Selter	
Alette Beaujon	Aruba
Simon Koster	
Judith Herzberg	
Frits Dekking	Amsterdam
Milo Anstadt	Amsterdam
Ferenc Karinthy	Boedapest
Bart Tromp	Den Haag
Wim van Rees	
Misha Mengelberg	Amsterdam
L.H.C. Hulsman	
Jan J. Klant	Amsterdam
Dick Hillenius	Amsterdam
Teo Anton van Kooten	
Bas van de Werk	
Aad van der Mijn	
Fenna van den Burg	Amsterdam
Paul van 't Veer	
Rudi Fuchs	
Jan Rogier	
L.H. Wiener	
Johan T. van Minnen	Zeist
Arend Heyting	Lugano
G.M.N. Verschuuren	
A.J. Cuppen	Amsterdam
Johan Jansen	
Huib Riethof	
David Kettler	
G.H. van Es	
Kees Ouwens	Heemstede
Nic Brink	
Theo de Boer	
K. Zickhardt	
Riekus Waskowsky	Rotterdam
Rudolf Geel	
Hans Gruyters	
Henri van Praag	Hilversum
C.J. Dippel	
Hein Ruygers	
H. Linnemann	
M.G. Plattel	
Joke Kool-Smit	
Aad Nuis	Den Haag
Monika Warnenska	
Thierry de Beaucé	
Enno Endt	Edam
Jan van Harten	
Jan van der Vegt	
Abraham Sutzkever	
Kees Simhoffer	Maastricht
Ben Wolken	
H. Ramaer	
Peter Weibel	
Bea Vianen	Paramaribo
E. Land	
R.A. Maandag	
E.M. Barth	
J.S. Henriksson	Sittard
Tiele Rümke	
Herma Vergouwe	
Rutger Kopland	Glimmen
Arnold Spauwen	
Aryiris Chionis	Athene
M. Blijstra	
H.M. Ruitenbeek	
M.C. Brands	Amsterdam
A.G. van der Spek	
H. Schaafsma	
H. Daudt	Amsterdam
Johan Goudsblom	
Loden Vogel	
L.J. Zimmerman	Den Haag
Jos Ruting	Amsterdam
Klaus Siegel	
Wilna Burger	
Luk Wenseleers	
Theo Stibbe	
J. van der Gaag	Leiden
Nicolás Guillén	
Jacques Vallier	
P. Eldering	
Lucas van der Land	Vivès
Alejo Carpentier	Parijs
Mia Boxman	
Constance E. van der Maesen	
Heberto Padilla	
R.J.A. van Suchtelen van de Haere	
Louis Ferron	Haarlem
A.L.R. Fernhout	
B. Lipschits-Linnewiel	
Bastiaan Willink	
Hans Knoop	
Thera Coppens	
Wiek Röling	
Huub Oosterhuis	
Wessel te Gussinklo	
Tom van Deel	
Gerard Termorshuizen	
Hans van de Waarsenburg	Maastricht
Jules Dister	
Astère Michel Dhondt	
Wim Rouw	
Jane Debrot	
Pieter A.M. Seuren	
S.C. Dik	Holysloot
W.F. Wertheim	
Hendrik Conscience	Brussel
Peter Collier	
Orlando Emanuels	
Roel van Duyn	
Oscar Timmers	
Ho Chi Minh	Hanoi
Konrad Boehmer	Amsterdam
Vasilis Vasilikos	
Kenneth Keniston	
L.L. Coïni	
Gerrit Bakker	Schoorl
Leo Haring	
Jan Geurt Gaarlandt	
Jacques L. Schmitz	
Robert Paul Flipse	
Louis Andriessen	
Lieuwe Brouwers	
César Vallejo	
Oswaldo Salazar	
Karen Spalding	
Petronella Everdina Eldering	Amersfoort
Percy B. Lehning	
J.F. Glastra van Loon	Den Haag
Bertus Dijk	
Nicanor Parra	
Han ten Brummelhuis	
Walter Haesaert	
Kees Fens	Amsterdam
F. Tichelman	
J.D. van der Meulen	
Judicus Verstegen	
António Jacinto	
Godfried Bomans	Bloemendaal
Charles Bettelheim	Parijs
Johanna Fortuin	
Willem van Malsen	Ermelo
Mark Brusse	
Klaas de Jonge	
Aart J.M. van de Laar	
Go Mandersloot	
W.G. Wolters	
D. van Arkel	Diepenheim
E. Mandel	
Mary McCarthy	
Hans Tentije	
H.G. Matthes	
G.A. Lindeboom	
Silvia W. de Groot	
R. Dobru	Paramaribo
Rodney Russell	
Jan Voorhoeve	Parijs
Ursy M. Lichtveld	
Ch.J. Wooding	
Judith Allard-de Kom	
H.F. de Ziel	Haarlem
Pieter Polanen	Paramaribo
Shrinivási	Willemstad
A.F. May	
Jo Löffel	Den Haag
Thea Doelwijt	
Paul Marlee	
Jozef Slagveer	Paramaribo
Edgar Cairo	Amsterdam
Harry Kensmil	
R. de Jong	
Gerrit Huizer	
Michael Wilson	
Wim Huyskens	
Wouter Donath Tieges	Amsterdam
Geerten Meijsing	
G.P.F. Buddingh'	Arkel
Norbert Elias	Amsterdam
Anton Korteweg	
Hugo Pos	Amsterdam
Hugo Brandt Corstius	Amsterdam
P.Th. Hugenholtz	
P.A. Verburg	
Ans van Haersolte	Wassenaar
Lodewijk Prins	
Ed. Ebels	
Anneke Jansen	
R. Sierksma	
Reinbert de Leeuw	
Kees Winkler	Amsterdam
Cyrille Offermans	
Rob Vermeulen	
Wijnand Steemers	
Ton Anbeek	
Dirk Kroon	
Theo de Jong	
Cas Wouters	
Reinout Bakker	Allicante
A. Ladan	
Piet van Caldenborgh	
Fritz Zondervan	
W.H. van der Linden	
C. van de Haar	
H.J. Vieu-Kuik	
H. de Lange	
O.J. de Jong	Amsterdam
H.F.J.M. van den Eerenbeemt	Tilburg
W.M. Zappey	
Rob Rentenaar	
W. Burger	
Peter Harper	
Ivan Illich	Bremen
C. Schepel	
John H. Schaar	
Sheldon S. Wolin	
Bart van Steenbergen	
Bram van der Lek	
J.J.G. Syatauw	
A. van 't Laar	
J.Th.M. Palstra	
Hugh P. Gallacher	
C.J. Stigter	
J. Hetterschij	
H.H. ter Balkt	Nijmegen
H.M.A. Struyker Boudier	
Fred Bornstein	
Bouke B. Jagt	
Fons Elders	
Peter Berger	
A.L. Vos	
Friedhelm Debus	
Camiel Hamans	
Dolph Kohnstamm	
J.R. Slotemaker de Bruine	Wassenaar
Matthijs Siegenbeek	Leiden
H. Baudet	Leiden
C.D. Saal	
S.J. Doorman	
J.M.W. van Ussel	
J. van Baal	Doorn
E.V.W. Vercruijsse	
Jan Donkers	
Eddy van Vliet	Roeselare
H.J. Verkuyl	
Raymond ten Berge	
Jan W.H. Wentink	
W.E. Krul	
Marianne Vos	
Rob Bognár	
Bert Vanheste	Nijmegen
Berend Lasseur	
Derek Phillips	
M.C.A. Brongers	
Paul Goodman	
Sorin Alexandrescu	
Adrian Pâunescu	
Jacques van Alphen	
Ad Kooyman	
Peter Hofstede	
J.Th. Snijders	
Tessel Pollmann	
Hermann H. Frese	
Alvin W. Gouldner	Madrid
Hidde van der Ploed	
P. Schumacher	
Hessel Miedema	
Wim Hazeu	
E. van der Starre	
Armando	Potsdam
Jacob Groot	
Samuel de Lange	
Eva Vondeling	
Józef Lewandowski	Stockholm
Annie Gransch	
Nadjezjda Mandelstam	Moskou
Alexander Münninghoff	
Ilja Ehrenburg	Moskou
I.F. Fedorov	
Bessie Schadee	
Joeri Galanskov	Orlow
Esselien 't Hart	
Aleksander Ivanov	
Wim van Dam	
Michail Kalik	
Vikentij Gerasimtsjoek	
Adam Tern	
Jan van Eijk	
Jos J.B. van der Putten	
Franco Ferrarotti	
Guy Desrole	
Irene van Grinsven	
Els de Graaf	
A.P. van Goudoever	
Michel Korzec	Podkowa Lesna
Nico Wilterdink	
Han de Vries	Garderen
Laurens van Krevelen	
Gerbrand Muller	
Hugues C. Pernath	Borgerhout
Willy Lauwens	
C.W. Aakster	
A.J. Dunning	Amsterdam
Hilbert Kuik	
P. Hirschler	
Chris Mast	
C.J.B.J. Trimbos	Rotterdam
G.A. Ladee	
J.H. de Haas	Den Haag
C.D. Fuchs	
R.A. Basart	Loosdrecht
Marcel van der Linden	
Bert Menco	
Tim Krabbé	
Willem M. Roggeman	
Noam Chomsky	
Robert S. Cohen	
José Cardoso Pires	
Hans Faverey	Amsterdam
Anton Haakman	
Francisco Marinho	
Joanna Martinez-Horsman	
Jan Stroop	
Hans Plomp	
Antal Sivirsky	
Maarten 't Hart	
Boris Tomas	
E.C.P. van Waalwijk van Doorn	
H.R. van Gunsteren	
J.H. Kamstra	
Anton Blok	
Esteban López	
Peter Zonderland	
Cor Blok	
Lidy van Marissing	
Herman Pleij	
H.E. Ruitenberg	
Jak van der Meulen	
Jean Améry	Salzburg
P.R. Baehr	Heemstede
Martin Mooij	Rotterdam
Hans Carl Artmann	Wenen
Elisaveta Bagrjana	Sofia
Kristien Warmenhoven	
Keorapetse Kgositsile	
Michael Krüger	
Mazisi Kunene	
Philip Levine	Fresno, Californië
Ruud Löbler	
Czeslaw Milosz	Krakau
János Pilinszky	
Waldo Rojas	
Sapardi Djoko Damono	
Mongane Wally Serote	
Charles Tomlinson	
Kazuko Shiraisi	
Noriko de Vroomen-Kondo	
Raymond Benders	
Martin Lusse	
P.A. Wackie Eysten	
Gust Gils	Antwerpen
V.S. Naipaul	Londen
George Huppert	
Breyten Breytenbach	
Charles Vergeer	
Hans van den Bergh	Amsterdam
Paul Kapteyn	
F.B. Hotz	Leiden
Rien T. Segers	
Pier Boorsma	
Jack ter Heide	
Grahame Lock	
Ton Korver	
M. Fennema	
Margriet Poort	
Elmer Schönberger	
Wiel Kusters	
Jules A. Deelder	
Mieke Westra	
Aline Glastra van Loon	
Christine Brinkgreve	
Alex Korzec	
J.J. Witkam	
Siep Stuurman	
Emil Bentzen	
Arie Gelderblom	Rotterdam
Adriaan van Dis	
Maria van der Moer	
Paul Celan	Parijs
J.W. Niemeijer	Utrecht
Jaime Mendizábal	
Frans de Rover	Santa Cruz de Tenerife, Tenerife
Magda van Emde Boas	Amsterdam
Stefan Morawski	
Sjoerd Kuyper	
Hans van Lier	
F.G. Droste	
Pieter de Meijer	
Alex van Gelder	
Peter van Zonneveld	
Fernando Schellen	
A.K. Koekkoek	Tilburg
C.J.M. Schuyt	
Cees Cruson	
Ton Zwaan	
Philip Ramp	
John Berger	Parijs
Max Arian	
Loek Esmeijer	
Arthur Mitzman	
B.J.S. Hoetjes	
Petrus Adrianus Johannes Bentvelzen	
J.J. van der Werff ten Bosch	Leiderdorp
M.B. ter Borg	
Louis Boon	
August Heyting	
Hans Magnus Enzensberger	
Leo Damen	
R.Th.R. Wentges	
Ampie Coetzee	
Gérard van den Eerenbeemt	
Leo Fretz	
W. van Dort	
Marcel Baudet	
Walter van der Star	
Dick Pels	
Lloyd Haft	
H.J. Smeding	
Toon Tellegen	
E.J. Dommering	
Leendert Witvliet	
Th.J. de Jong	
Joyce van Lankeren	
J.N. Swallow	
Margreet Hirs	
Erika Dedinszky	
W. van Drimmelen	
Botto van den Bergh	Den Haag
Carlo Ginzburg	
Peter van Gestel	Amsterdam
Freek Bruinsma	
I. van der Sluis	
J.J. Klinkert	
F. Vos	
Akira Nagazumi	
Rudy Kousbroek	Leiden
Ango Sakaguchi	
Jan Noordhoek	
Frans Boenders	
E.G. de Poorter	
M.J. de Meijer	
Wim Markus	
Jaap Oostermann	
Rudolf Dekker	
J.H. van Geemert	
Pieter Spierenburg	
Jacques Kruithof	Amsterdam
J.M.A. Biesheuvel	
Pieter Lukkenaer	
Lela Zeckovic	
Ben Cami	Aalst
José Boyens	
A.H.G. Rinnooy Kan	
Marcel van Herpen	
H.T. Boonstra	
A.J. Kox	
P.H. Polak	
Constantijn Huygens	Den Haag
Ph. de Vries	
H.J.M. Bos	
J. Lodewijks	
J.C. Ebbinge Wubben	
Dick van den Bosch	
R.H.J. Egeter van Kuyk	
Federico García Lorca	
Emma Brunt	
J.W. Bezemer	Oldeberkoop
Martin Veltman	Amsterdam
John Kleinen	
Edzard Dideric	
Remco Ekkers	
Alfred Pijpers	
J. Popken	
Eva Abraham-van der Mark	
Michael Masuch	
Frida Balk-Smit Duyzentkunst	Bloemendaal
Ida van Heteren	
J.M. van der Horst	
Elly de Waard	
Frans H. van Eemeren	
J.H. Maureau	
Ad Teulings	
Frans de Cort	Elsene
G. Dijkink	
J. Beijk	
Tsjow Meng-Tiè	
Erik K. de Vries	
Herman ten Kroode	
Hans Sleutelaar	
L.C. Suttorp	Den Haag
Willem Bijsterbosch	Den Haag
Hans Verhagen	
G.J.H. van Gelder	
Sadiq Galal al'Azm	Berlijn
A.H. de Groot	
R. Kruk	
G.H.A. Juynboll	Leiden
J.J.G. Jansen	Amsterdam
Usama ibn Munqidh	
C.A.O. van Nieuwenhuijze	
Roel Otten	
Abu 'l-Ala al-Ma'arri	Ma'arra bij Aleppo
C.G. Brouwer	
F. de Jong	
P.S. van Koningsveld	
L.I. Graf	
R.J. Spruit	
Octavio Paz	
Steef Davidson	
Isaak Kaplanas	Amsterdam
Jaap Goedegebuure	
R. Kroes	
Anthony Mertens	
W.A.M. de Moor	Groesbeek
Rabin Gangadin	
Jan Siebelink	
Aleid Truijens	
Jérôme Vervaecke	
Klaas Ruitenbeek	
Lu Xun	
Cita Golterman-van Dijk	Amsterdam
Peter Reinhart Gleichmann	
Tine Ausma	
Albert Jan Govers	
Herman Roodenburg	
E.E.G. Vermeulen	
Philippe Noble	
Pim den Boer	
Margot de Hartog	
Michel Huisman	
Frans W. Saris	
R. Vanderauwera	
Maarten van Rossem	
Jacobus Bos	
Henk Tromp	
M.J. Weggelaar	
Y.S. Brenner	Bilthoven
K. van der Arren	
Lea Dasberg	Jeruzalem
Carolijn Visser	
J.E. Ellemers	
E. Braches	
E. van den Boogaart	
Dhiravat na Pomberja	
Pauline Moody	
Maria Bogucka	
Hendrik Henrichs	
Louis Emmerij	
Jaap Goudsmit	
A.B. Lapian	Jakarta
Willem Otterspeer	
A.M.J. de Keijser	
Peter van Seters	
Marjolijn Sorbi	
R. Lindeman	
M.K. van der Steeg	
Arie Rip	
Berend Lantink	
Gunther S. Stent	Haverford
Nelleke van Maaren	Amsterdam
W.A. Verloren van Themaat	
Manuel Kneepkens	
Jeroen Henneman	
Rien Goettsch	
Nel Veenboer	
Beate Zilversmidt	
A.J. van der Staay	
Ilja Scholten	
Jan W. Boersma	
L.P.J. Veelenturf	
J.D. Querido	
Herman de Lange	
Herman Franke	Amsterdam
Jean-Paul Franssens	Amsterdam
G.L. Durlacher	Haarlem
Herbert van Erkelens	
Ron Hey	
F.L. van Holthoon	
Wim Neetens	
Paul Casparie	
Helga Nowotny	
Rien van den Broek	
Christel van Boheemen-Saaf	
Jan Paul Hinrichs	
C.W. Mönnich	
W. Albeda	Maastricht
Hans van de Braak	
Adam Szirmai	
Kees Nijland	
P. Smoor	
Lourina de Voogd	
Ed de Moor	
Frank Loog	
Hans Berghuis	Haelen
Henk de Velde	
Eva van Sonderen	
Willem G. Weststeijn	
P.J. de Voogd	
G. Groenhuis	
Hans Ester	
Marjan Groenewegen	
A.C. Zijderveld	
Frans Budé	
Douwe Draaisma	
Frans Weitenberg	
Peter Zeeman	
Joseph Brodsky	New York
Arthur Langeveld	
Kees Caljé	Rotterdam
Reinold Widemann	
Marijke Rijsberman	
Hans Bertens	
Jaap van der Bent	
Rik Planting	
Elisabeth Roudinesco	
R. Overeem	
Tonja van Rijthoven	
Jaap van Heerden	
Maarten Steenmeijer	
Jan Houwink	
August Hans den Boef	
Pieter Sijpersma	
Otto van den Muijzenberg	
Nico G. Schulte Nordholt	
R. Menggali	
Elly Touwen-Bouwsma	
Henk Schulte Nordholt	
H.M.J. Maier	
Wil Rouleaux	
Ulrike Weinhold	
Ben de Pater	
Marie-José Heijkant	
Tjalling Bos	
Leander Hanssen	
Raymond Corbey	
Joris Iven	
Adriaan M. van der Hoeven	
Sirkka-Liisa Hahmo	
Vojtech Mastny	
A. Lammers	
Jan Bank	
Herman de Liagre Böhl	
Jan Blokker	Amsterdam
A.C.M. de Kok	
Elsbeth Etty	
Marga Demmers	
Carme Riera	
Bob de Nijs	
Xavier Fàbregas	Palermo
Siem Juliard	
Paul van Heck	
Dirk van Bastelaere	
Th. Kuiper-Weijhenke	
Eva Hofman	
P.F.M. Fontaine	Amsterdam
W.L. Stokvis	
Evert Sweens	
Freddy de Vree	Antwerpen
Gerrit Krol	Groningen
Carl Friedman	
Rolf Wolfswinkel	
Wim Reilingh	
Hub. Hermans	
Jan Lechner	
H.J. 't Hart	
André Spoor	Den Haag
Hans Freudenthal	Utrecht
H.B.G. Casimir	Heeze
E.H. Kossmann	
Hans Ree	
S.V. Langeveld	
Jan Tinbergen	Den Haag
Beatrijs Ritsema	
Louis J. Mostertman	
J.P. de Jong	
Jojada Verrips	
H. Schuttevâer	
L. Lafour	
Gerhard Dünnhaupt	
Jan Kuijper	
C.J.G. Holtzappel	
Hans Ras	Warmond
Henk Flinterman	
Johan B.W. Polak	
Rob Sijmons	
Ph.M. Bosscher	Den Helder
Kitty Verrips-Roukens	
M.A. Wes	
Paula Vermeyden	Amsterdam
H.L. Wesseling	Oegstgeest
H.W. von der Dunk	
Frank Kuitenbrouwer	
Flip de Kam	
Drs. P	Amsterdam
K.L. Poll	Rotterdam
I. Samkalden	
José Rentes de Carvalho	
Hans Dorrestijn	
H.A.M. Snelders	
Pieter Lakeman	
G.M. van Asperen	Amsterdam
J.P. Guépin	Amsterdam
Hugh Jans	
Ch. Enschedé	Haarlem
Ellen Ombre	
Gerrit Komrij	Amsterdam
Jan van Hoften	
G.A. Wagner	
Frans Hüsken	Haarlem
Wilt Idema	
B. de Gaay Fortman	
E.P. Wellenstein	Den Haag
Jan Juffermans	
Frank Martinus Arion	Willemstad, Curaçao
J.C. Heesterman	
Hans Calis	
Herman Hertzberger	
Berthe Meijer	Amsterdam
A. Komen	
Charlotte Mutsaers	
A.M. Hagen	
Anneke Brassinga	
E. T. Woudstra	
Egil Törnqvist	Amsterdam
Dédé Brouwer	
Stefan Hertmans	
Bart Driessen	
Peter van der Veer	
Herman Tieken	
M.E. 't Hart	
Reinder Boverhuis	
Sanjukta Gupta	
William H. McNeill	
