Author	POD
Johan de Witt	Den Haag
J. Tideman	Den Haag
F.A.W. Miquel	Utrecht
Adriaan Loosjes	Bloemendaal
Jan Herman Herman de Ridder	Den Haag
Joannes Tideman	Hilversum
H. van Cappelle	Haarlem
Jan Willem van der Noordaa	Rotterdam
Samuel Adrianus Naber	
Willem Doorenbos	Den Haag
H. Halbertsma	Amersfoort
P.J. Hollman	Alkmaar
Antonius van der Linde	Wiesbaden
Cornelius Marinus de Jong van Rodenburgh	Haarlem
Mari Johan Mees	Rotterdam
Lodewijk Willem Ernst Rauwenhoff	Méran
J.C. Reepmaker	
Jan Jacob de Gelder	Alkmaar
L. de Hartog	
Johan Adam Wijnne	Utrecht
Jan Pieter Nicolaas Land	Arnhem
Jan Gerrit Hulleman	Utrecht
Nicolaus Meursinge	
Johannes Pols	Den Haag
B.M. Perk	
Adrianus Bruinvisch Maatjes	Amsterdam
Antony Winkler Prins	Voorburg
J.W. Muller	Leiden
Albert Hendrik Arnoldus Ekker	Den Haag
Ben Sloot	
Wilhelm Christiaan Knottenbelt	Katendrecht (Rotterdam)
Carel Vosmaer	Montreux
Geert Berings	
N.W.P. Rauwenhoff	
Johannes Margadant	
Simke Heerts Rinkes	Arnhem?
Abraham Kuenen	Leiden
C.P. Burger	Amsterdam
Walter Bosch	
Nicolas Charles Sieburgh	
Aart Veder	
W.C.A. Staring	Den Haag
A.S. Carpentier Alting	Den Haag
Abraham Seyne Kok	
P.J.B.C. Robidé van der Aa	Den Haag
J. Wttewaall	Utrecht
W. Ruys	Den Haag
Frederik Nagtglas	De Bilt
P.C. Margadant	Dieren
Sijo Kornelius Thoden van Velzen	
Hendrik de Veer	Rhenen
W.J.A. de Witt Huberts	Amsterdam
D.E.W. Wolff	
T.T.H. Jorissen	Amsterdam
Mon Steyaert	
H.P.G. Quack	Amsterdam
S.J. Hingst	Den Haag
Abraham Dirk Loman	
Johannes van Dam	Leiden
Samuël Senior Coronel	Leeuwarden
Hippoliet Bauduin	Rome
Tobias Michael Carel Asser	Den Haag
Simon Frederik Groen	
F.P.J. Sibmacher Zìjnen	Middelburg
Steven Blaupot ten Cate	Hoogezand
Johannes Philippus Heukelom	Amsterdam
W.H. van de Sande Bakhuyzen	
Abraham Willem de Klerck	
Willem baron van Goltstein	Putten
Julius Christiaan van Deventer	Dordrecht
Otto van Rees	Utrecht
J. Limburg	
Firmin van der Poorten	Aalst
Lodewijk Mulder	Den Haag
N.J. den Tex	Amersfoort
Herman Agatho des Amorie van der Hoeven	Den Haag
Pieter Bleeker	Den Haag
J.F.B. Baert	Utrecht
J. Beckering Vinckers	Groningen
Samuel van Houten	Den Haag
Gerrit Kuyper Hzn	Den Haag
P.A. Tiele	Utrecht
Thomas Kroon JHz.	Apeldoorn
Henri Ernest Moltzer	Utrecht
R.S. Tjaden Modderman	
H.A. Wijnne	Groningen
Nicolaas Jacob Bernard Kappeyne van de Coppello	Amsterdam
Isaäc Dornseiffen	Doorn
Jan Willem Nicolaas Mosselmans	Leiden
Izaak Jan Blaupot ten Cate	Vries
Nicolaas Bernhardus Donkersloot	Den Haag
Jan Luzac	
Anthony Ewoud Jan Modderman	Den Haag
Jan ten Brink	Leiden
