	0
Abraham Seyne Kok	0.0
Ezra Pound	95.80317460317507
Monika van Paemel	91.12063492063523
K.H.R. de Josselin de Jong	0.0
J.J. van Geuns	0.0
J.J.A.A. Frantzen	126.34642857142829
H.E.H. van Loon	127.01071428571422
Fabian R.W. Stolk	83.64051226551256
G. Bolkestein	126.34642857142829
A.A. van Rijnbach	125.84642857142829
Jan Koopmans	125.84642857142829
Joris Iven	112.16865079365112
G.J. Dorleijn	114.54603174603206
Eric Vos	0.0
R. Jansen-Sieben	111.2126984126987
J.C. Bloem	176.3928571428576
L. Elaut	137.37261904761894
Benno Barnard	89.15396825396856
Jan Schoolmeesters	103.05674603174624
Ed. Hoornik	158.58452380952397
Gerard Walschap	189.74285714285745
Hans Luijten	102.34246031746058
Leo Pleysier	88.95396825396857
Paul Alberdingk Thijm	0.0
Sjoerd Kuyper	87.15396825396859
Anna van Gogh-Kaulbach	130.39523809523777
Lode Zielens	141.36071428571412
W.Ph. Coolhaas	121.6801587301588
Hugo de Vries	1.0
Anton Gerard van Hamel	0.0
Dirk Vansina	128.3226190476187
C.C. de Bruin	160.76071428571473
Lucien Brulez	0.0
P.J.H. Vermeeren	132.54920634920614
Piet van Aken	147.1952380952383
Albert Westerlinck	148.5880952380955
R.A. Cornets de Groot	119.76865079365102
J.J. le Roux	126.34642857142829
Maurits Mok	0.0
Gé Vaartjes	2.0
Jef van Gool	87.15396825396859
Olf Praamstra	85.47384559884587
Koen Vermeiren	91.17777777777809
Antoon Coolen	152.58571428571463
A. Snoeck	0.0
Marianne Philips	126.34642857142829
I.D. du Plessis	126.34642857142829
Maaike Meijer	85.47384559884587
Hein Boeken	132.88690476190442
Siem Bakker	85.47384559884587
L.A. te Winkel	126.34642857142829
Guillaume van der Graft	74.58575036075048
P. Polman	126.34642857142829
Edouard Dhanis	133.99880952380954
Jan Hanlo	103.76984126984162
Oek de Jong	87.65396825396859
Anton Blok	77.429401154401
Herman Pleij	115.81269841269872
J. Herderscheê	1.0
Lionel Deflo	89.15396825396857
Rein Bloem	118.26865079365102
J.B. Schepers	126.34642857142829
Paul Lebeau	126.34642857142829
