Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
Eldert Willems	1865.0999999999328	0.23432464715005732	0.0030765115034777956	2.3943321779826486e-05	0.0014713750668806848	0.0016051364365971105	0.0019074202624059075
Karel Wauters	1885.7261904761506	0.23137226634989969	0.015650080256821828	6.0255294318065685e-05	0.005082932049224184	0.010567148207597646	0.007050284804005555
Ton Nijhuis	1487.5984126984333	0.18875082673838822	0.0006688068485821295	0.0	0.00040128410914927763	0.00026752273943285177	0.00014502370584695238
R.J. Valkhoff	1574.9488095238162	0.2019623813962287	0.001203852327447833	3.132591281063667e-05	0.0005350454788657035	0.0006688068485821295	0.00015074028580783395
Robert Maistriaux	1740.0999999999478	0.22341917171281586	0.001337613697164259	0.0	0.00026752273943285177	0.001070090957731407	0.0007132174197754446
Jan Kuys	1405.8194444444744	0.17810058719968122	0.0008025682182985553	0.0	0.00013376136971642589	0.0006688068485821295	9.415760696050536e-05
Stuart B. Jackman	1360.4996031746532	0.17530690207148691	0.0005350454788657035	0.0	0.00026752273943285177	0.00026752273943285177	2.2787819146763733e-05
Bert Schreurs	1787.5476190475704	0.2229452492020742	0.01431246655965757	4.9533539313790986e-08	0.0030765115034777956	0.011235955056179775	0.004387829293475065
Frank Martinus Arion	2021.840476190401	0.2520948143184669	0.004280363830925628	2.5411129059411745e-05	0.0040128410914927765	0.00026752273943285177	0.004241487995331973
Peter Cox	1338.1218253968864	0.17336273905279562	0.001070090957731407	0.0	0.0005350454788657035	0.0005350454788657035	8.882635023566809e-06
G.A.C. Hubers	1844.4023809523494	0.22708582202778277	0.0040128410914927765	8.729951619537569e-05	0.0016051364365971105	0.002407704654895666	0.0030254391139379585
J. Verdam	2327.4976190476023	0.2822741649468776	0.03838951310861423	0.0068933372664351554	0.01752273943285179	0.020866773675762437	0.020814739674352205
Hidde van der Ploed	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
Berend Jager	0.0	0.0	0.001070090957731407	0.0	0.0	0.001070090957731407	3.552025893195421e-97
G.W.J. Bruins	1871.9499999999473	0.23512674895409505	0.002675227394328518	0.0	0.002675227394328518	0.0	0.009021257382218276
Jozef Marechal	0.0	0.0	0.00040128410914927763	0.0	0.0	0.00040128410914927763	3.552025893195421e-97
E. Schoenmaeckers	1414.565079365108	0.18146344451437657	0.001337613697164259	0.0	0.00013376136971642589	0.001203852327447833	6.900046627753684e-05
Josef Winkler	1513.6329365079537	0.19391528172137704	0.00040128410914927763	3.639945895675078e-06	0.00026752273943285177	0.00013376136971642589	6.643517813976292e-05
Gert de Jager	1606.18928571428	0.19947495907649646	0.0029427501337613697	1.608225620623607e-06	0.0018726591760299624	0.001070090957731407	0.0010646274415838594
Maarten Doorman	1437.8694444444855	0.18411471809803795	0.005350454788657036	0.00011619738937279427	0.0008025682182985553	0.00454788657035848	4.961126653627715e-05
Petra Teunissen-Nijsse	1643.0313492063392	0.20440261044276734	0.0030765115034777956	0.0	0.0005350454788657035	0.002541466024612092	0.0009397713909231644
Judith Viorst	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
Frans Van Coetsem	0.0	0.0	0.0008025682182985553	0.0	0.0	0.0008025682182985553	3.552025893195421e-97
Vitaliano Brancati	1549.2603174603216	0.19745764426471432	0.0006688068485821295	0.00011781526259035248	0.0005350454788657035	0.00013376136971642589	0.00017960497300923277
J. Jelgerhuis Swildens	1647.5071428571277	0.20953543527339802	0.00040128410914927763	3.304345462775052e-06	0.00013376136971642589	0.00026752273943285177	0.00029424093678856873
Max B. Teipe	1919.8976190475357	0.24338775554643072	0.0016051364365971105	6.769997645038355e-05	0.0006688068485821295	0.0009363295880149812	0.0022597267256042374
