Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering
Leonard Forster	0.012751677852348993	0.007382550335570469	0.005369127516778523	0.00023926739400582846	0.2507429953319413	2042.9214285713674	0.013435666073250847	0.3058863176814199	0.07044375684661656
Camille Huysmans	0.00523489932885906	0.004161073825503355	0.0010738255033557046	0.0003027426496902117	0.26036488578030625	2095.2452380951618	0.014479664147506868	0.29279891304347827	0.05390366892714311
A.J. Goblet (d'Alviella)	0.00026845637583892615	0.00013422818791946307	0.00013422818791946307	0.0	0.13855753518598374	1064.4707070707163	2.9669414636047154e-07	0.0	0.0
Hans Hom	0.0004026845637583892	0.00026845637583892615	0.00013422818791946307	0.00010880249679926409	0.16711858931178497	1303.061904761938	2.088812136614093e-05	0.0	0.0
Sitor Situmorang	0.00026845637583892615	0.00013422818791946307	0.00013422818791946307	1.5749447732292202e-07	0.16924393146259037	1320.3753968254414	3.077593601188519e-05	0.0	0.0
Kees Snoek	0.005369127516778523	0.004026845637583892	0.0013422818791946308	0.00012509123444853304	0.21642168814927334	1763.3309523809332	0.0042136890280168775	0.38653846153846155	0.04962572775159412
Robert P. Swierenga	0.0004026845637583892	0.00013422818791946307	0.00026845637583892615	0.0	0.12180657932688049	927.5948051947706	5.833802299474358e-09	0.5	0.0
Jan Zielonka	0.00026845637583892615	0.00013422818791946307	0.00013422818791946307	0.0	0.1564987951926221	1207.175396825441	1.982885278098111e-06	0.0	0.0
Ágnes Roboz	0.0004026845637583892	0.00013422818791946307	0.00026845637583892615	0.0	0.00013422818791946307	1.0	8.157193187679064e-85	0.5	0.0
Eva Bodor	0.0004026845637583892	0.00013422818791946307	0.00026845637583892615	0.0	0.00013422818791946307	1.0	8.157193187679064e-85	0.5	0.0
Margret Brügmann	0.00013422818791946307	0.0	0.00013422818791946307	0.0	0.0	0.0	9.056303693276773e-101	0.0	0.0
Geoffrey Douglas Madge	0.0006711409395973154	0.00013422818791946307	0.0005369127516778523	0.0	0.14454116823537227	1100.2123015873276	1.939663843162503e-07	0.3333333333333333	0.0
Mea M. Flothuis	0.0013422818791946308	0.0004026845637583892	0.0009395973154362415	0.00016385423159146742	0.1759141227273967	1352.992460317509	1.3658138367853967e-05	0.21428571428571427	0.004484304932735426
J.S. Henriksson	0.0006711409395973154	0.0005369127516778523	0.00013422818791946307	2.5899707634287827e-08	0.17515828847886333	1370.6408730159194	4.1342424446474636e-05	0.2	0.0
Gèr Boosten	0.0008053691275167784	0.0008053691275167784	0.0	0.0	0.22927364337965242	1839.8904761904325	0.0021193903848974608	0.5	0.0
Jeroen Henneman	0.0005369127516778523	0.0005369127516778523	0.0	0.0	0.2214406373272683	1750.2999999999533	0.0008195248775268732	0.25	0.0
Bart van der Sijde	0.0008053691275167784	0.0004026845637583892	0.0004026845637583892	6.581936325857311e-08	0.19190317899443646	1498.204365079382	7.290315388522894e-05	0.8333333333333334	0.03896103896103896
Willem de Ruiter	0.0012080536912751677	0.0008053691275167784	0.0004026845637583892	9.45605004388698e-06	0.21214205719541085	1669.2785714285417	0.0005531950730596799	0.36363636363636365	0.03896103896103896
Benno Barnard	0.004697986577181208	0.003892617449664429	0.0008053691275167784	5.2050945526361665e-05	0.22398222787080144	1808.1642857142485	0.0028888786402171407	0.2571428571428571	0.011011011011011011
Jan Versteeg	0.001476510067114094	0.0005369127516778523	0.0009395973154362415	6.789191567846023e-06	0.20809034152563588	1629.8702380952113	0.0004242853833158599	0.11818181818181818	0.034482758620689655
Gerrit-Jan Berendse	0.005369127516778523	0.001476510067114094	0.003892617449664429	2.8758103867550874e-05	0.20203171053630853	1620.584523809517	0.001096228702243323	0.4720779220779221	0.0609130859375
Wolfgang Hilbig	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	1.0479341639315902e-07	0.17876181535212216	1397.6968253968673	4.196537365278818e-05	0.2	0.0
Juan José Arreola	0.0004026845637583892	0.00026845637583892615	0.00013422818791946307	1.924819076556562e-06	0.1676891591172034	1317.8023809524227	4.017508604103433e-05	0.0	0.0
Willem Derks	0.0004026845637583892	0.0	0.0004026845637583892	0.0	0.0	0.0	9.056303693276773e-101	0.0	0.014925373134328358
I.F.M. Salim	0.0012080536912751677	0.0004026845637583892	0.0008053691275167784	3.6702502630730353e-05	0.21470247263226575	1683.748809523776	0.0004511612836132318	0.36764705882352944	0.05472138805472139
Salvador Bloemgarten	0.0010738255033557046	0.00013422818791946307	0.0009395973154362415	2.6246623585180467e-06	0.00013422818791946307	1.0	4.890403994369456e-99	0.08928571428571429	0.007712082262210797
H. Schippers	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	0.0	0.17544725599563082	1363.1757936508432	3.051937822932794e-05	0.4166666666666667	0.0
H. Schröder	0.003892617449664429	0.0033557046979865767	0.0005369127516778523	0.00020148500982363792	0.24550817218338725	1968.171428571357	0.006291996532764327	0.16336633663366337	0.023255813953488372
Ria van Hengel	0.0006711409395973154	0.00013422818791946307	0.0005369127516778523	0.0	0.18842908246383847	1462.782936507957	8.935613793776901e-05	0.4444444444444444	0.023255813953488372
F.G. von der Dunk	0.001476510067114094	0.0	0.001476510067114094	0.0	0.0	0.0	9.056303693276773e-101	0.33636363636363636	0.07535438945535937
P. van Hees	0.008456375838926174	0.004697986577181208	0.003758389261744966	0.00020196289230419535	0.2407952273541137	1946.6857142856556	0.005864992420604439	0.2321152856407617	0.054144596490943456
Guus Middag	0.009932885906040268	0.004026845637583892	0.005906040268456376	0.0006072160185324514	0.22146751047698737	1792.6214285714016	0.0037001399040355845	0.299739680178505	0.060922748999864794
Ad Zuiderent	0.009932885906040268	0.006174496644295302	0.003758389261744966	0.000334592626821585	0.23026574906689454	1874.4333333332975	0.005480156106485209	0.1936319881525361	0.02150955117254232
Hans Werkman	0.007114093959731543	0.0017449664429530199	0.005369127516778523	9.703465634419738e-05	0.21398870735865336	1708.519047619024	0.0012375858229520885	0.11175616835994194	0.04694792610345974
Ieme van der Poel	0.0017449664429530199	0.0005369127516778523	0.0012080536912751677	0.00013176254982884516	0.2046346456507226	1615.1785714285495	0.0005248644689785638	0.10256410256410256	0.0
Manet van Montfrans	0.0008053691275167784	0.00013422818791946307	0.0006711409395973154	7.651356850615604e-06	0.00013422818791946307	1.0	8.157193187679064e-85	0.07142857142857142	0.0
Henk Hillenaar	0.012751677852348993	0.006442953020134227	0.006308724832214765	0.00013878203010624562	0.21889103937206023	1780.488095238068	0.003956634139594816	0.22682268226822683	0.03889979367995936
Ruud Meijer	0.0010738255033557046	0.0	0.0010738255033557046	0.0	0.0	0.0	9.056303693276773e-101	0.03571428571428571	0.018838304552590265
Anton Korteweg	0.009395973154362415	0.00657718120805369	0.0028187919463087247	9.869551579811608e-05	0.23331882667649995	1902.9071428571015	0.006498544480733942	0.3301534632932393	0.04742625795257374
John Heymans	0.0025503355704697985	0.00013422818791946307	0.0024161073825503354	8.772770715851521e-06	0.16204564042949995	1252.0706349206805	4.038412888517015e-06	0.03529411764705882	0.007836391437308868
Gregor Laschen	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	9.607176418318936e-08	0.1780979990871623	1395.4230158730527	4.4358103244431055e-05	0.0	0.0
Ernst Jandl	0.002147651006711409	0.002013422818791946	0.00013422818791946307	0.00011197856487794689	0.21322389569481648	1686.3809523809255	0.0005512706471671692	0.23529411764705882	0.0
Michael O'Loughlin	0.0009395973154362415	0.00013422818791946307	0.0008053691275167784	0.0	0.00013422818791946307	1.0	8.157193187679064e-85	0.25	0.011235955056179775
Jinke Obbema	0.0009395973154362415	0.00013422818791946307	0.0008053691275167784	0.0	0.00013422818791946307	1.0	8.157193187679064e-85	0.25	0.011494252873563218
Joseph Campbell	0.0005369127516778523	0.0004026845637583892	0.00013422818791946307	8.781371480413065e-07	0.20152403043980122	1577.7281746031672	0.00019166208162601844	0.2	0.0
Philippe Jaccottet	0.0009395973154362415	0.0008053691275167784	0.00013422818791946307	1.7665747189518385e-05	0.20087857097385023	1573.720238095232	0.00022472076737244416	0.225	0.0
Kas Deprez	0.005637583892617449	0.0033557046979865767	0.0022818791946308723	1.1728270663217332e-05	0.22098729904350972	1783.6738095237838	0.003835853679027898	0.3075581395348837	0.021810699588477367
P.C. Paardekooper	0.06563758389261744	0.01973154362416107	0.04590604026845637	0.005141255962432585	0.25569704364029766	2126.0523809523625	0.020193075089162665	0.10122861455887286	0.03587647127586799
A. Wynants	0.0012080536912751677	0.0006711409395973154	0.0005369127516778523	4.4599872843916577e-07	0.2025168007503798	1593.3261904761682	0.0006793218456020266	0.4117647058823529	0.07313064913722268
J. Taeldeman	0.017315436241610735	0.011812080536912751	0.005503355704697986	0.00022323834507897468	0.23740637867253106	1953.673809523769	0.011223882428599832	0.23983986412713817	0.06861337290922948
Jozef Deleu	0.006711409395973153	0.003892617449664429	0.0028187919463087247	0.0002100346526542279	0.2357929261544404	1908.2619047618582	0.005366503077456341	0.35004108463434674	0.09367865053671835
Roland Mortier	0.0013422818791946308	0.0012080536912751677	0.00013422818791946307	1.1650421938609913e-08	0.23168344015752662	1853.5119047618493	0.003269777895778402	0.5444444444444444	0.0
Mark Schaevers	0.0009395973154362415	0.00026845637583892615	0.0006711409395973154	2.6572928931755886e-06	0.20155724275580628	1579.011904761889	0.0002964698100622985	0.375	0.005681818181818182
Marc Reynebeau	0.006711409395973153	0.002013422818791946	0.004697986577181208	0.00011004545789337153	0.2128065007363048	1697.0821428571164	0.0010906404554169827	0.12336601307189543	0.033731188375713546
Walter van den Broeck	0.00657718120805369	0.00523489932885906	0.0013422818791946308	8.978986097106306e-05	0.23719917760503173	1909.9785714285183	0.0043868805772571805	0.20332480818414322	0.0462882096069869
Anne Marie Musschoot	0.026577181208053687	0.011140939597315436	0.015436241610738253	0.0007409001328977742	0.24943890673700664	2048.780952380903	0.014473157572796762	0.18747754683089557	0.050415343913321656
Hendrik van der Wal	0.006308724832214765	0.0012080536912751677	0.005100671140939597	5.147963250432689e-05	0.2438925036856204	1941.045238095159	0.0042530197275733005	0.127669452181987	0.026095788733494805
Nop Maas	0.04147651006711409	0.010201342281879194	0.0312751677852349	0.0032357600702887118	0.24441647958661877	1988.7785714285142	0.01060274017279931	0.12445313814571765	0.03629161913657278
A. van Elslander	0.0323489932885906	0.01879194630872483	0.01355704697986577	0.0013817351801459407	0.2717473524567367	2237.9523809523516	0.030682404879803095	0.17093055459392092	0.049692045803302
F.L. Bastet	0.009932885906040268	0.005100671140939597	0.004832214765100671	0.0003743812519558025	0.23801857825748915	1940.9238095237629	0.006878408951626739	0.1661715558856294	0.021632162828841162
Gust Faes	0.0006711409395973154	0.0005369127516778523	0.00013422818791946307	0.0	0.20715629214169698	1628.7023809523537	0.0006652354384994357	0.65	0.0
