	0
Luuk Gruwez	10
Hans van de Waarsenburg	10
Herman Sabbe	10
Rutger Kopland	4
Hedwig Speliers	10
Jan van der Hoeven	10
Nic van Bruggen	10
Bob den Uyl	10
Michel Bartosik	10
Georges Adé	10
Jef van Gool	10
Rob Delvigne	10
Tom van Deel	4
Wim Meewis	10
Pszisko Jacobs	10
Cola Debrot	10
Hugo Raes	10
J.P. Guépin	10
Joris Denoo	10
Lucienne Stassaert	10
Rudolf van de Perre	4
Herman Pleij	4
J.M.A. Biesheuvel	10
K.L. Poll	10
Frans van Dooren	10
R.A. Basart	10
Albert de Longie	10
Jan Biezen	10
Oek de Jong	10
Bert Kooijman	10
Car Flanders	10
Gust Gils	10
Dirk Kroon	4
F.B. Hotz	10
Eriek Verpale	10
Hanneke van Buuren	4
Willy Lauwens	10
Jos de Haes	10
Johanna Kruit	10
Marc Bruynseraede	10
Henk Romijn Meijer	10
Kees Winkler	10
Claude van de Berge	10
Charles Vergeer	10
Ian	6
Eugène van Itterbeek	10
Elly de Waard	10
Jan Siebelink	10
J.J. Mak	6
Gerard Reve	4
Hendrik Carette	10
Karel Hellemans	10
Armand van Assche	10
Willem Brakman	10
Rob Schouten	10
W. Waterschoot	4
Wouter Kotte	10
Doeschka Meijsing	10
H.H. ter Balkt	10
Koen Vermeiren	4
Willem van Toorn	10
Eva Gerlach	10
F.L. Bastet	10
Hans Lodeizen	10
Jan Kuijper	10
Marc Reynebeau	10
Jan Schepens	3
Lieve Scheer	10
Frans Kuipers	10
Dirk Verbruggen	10
Boudewijn Büch	10
Philip Vermoortel	6
Ida Gerhardt	4
Ed Leeflang	10
Dirk de Geest	4
Stefaan Evenepoel	10
Benno Barnard	10
Erik Spinoy	10
Karel Porteman	6
E.K. Grootes	4
H.J.A. Hofland	10
Kristien Hemmerechts	10
Anne van Herreweghen	10
Bart Vervaeck	10
Bert Ranke	1
Jan Walravens	3
Marcel de Smedt	4
F.A. Snellaert	4
Leen Huet	10
Frank Willaert	4
Rudi Laermans	10
M.A. Schenkeveld-van der Dussen	4
Elma van Haren	10
Kamiel Vanhole	10
Eric Vos	4
Jan Baetens	4
Jef Last	9
Jacques Gans	9
Karel Reijnders	4
M.C. van den Toorn	4
W. Blok	4
H. Schultink	4
E.M. Uhlenbeck	4
A.W. de Groot	4
C. Kruyskamp	6
J. Kamerbeek jr.	4
J.C. Kamerbeek	4
P.C. Paardekooper	4
N. van Wijk	1
C.H. den Hertog	4
A.A. Prins	0
A. Prins	0
F.A. Stoett	4
P.F. Schmitz	4
Teun Hoekstra	4
Harry van der Hulst	4
S.J. Lenselink	6
G.J. de Haan	4
Elrud Ibsch	4
Arie Verhagen	4
Wim Zonneveld	4
Mieke Trommelen	4
R.Th. van der Paardt	9
Rob Wolfs	4
Lo van Driel	1
Taco Roorda	1
Johan Kerstens	4
Arthur Dirksen	4
Peter van Bart	4
Will van Peer	4
Anneke Neijt	4
A.M. Duinhoven	4
Odile Heynders	10
J.J. Kloek	4
W.W. Mijnhardt	4
Fred Weerman	4
Frank Jansen	4
Hans Anten	4
P.G.J. van Sterkenburg	4
Wardy Poelstra	4
J.M. van der Horst	4
A. van Loey	4
