Author	DOD
Harrie Lemmens	
Emile Schra	
Peter Brook	
Jan Ritsma	
Emanuel Overbeeke	
Frank Kouwenhoven	
Oswin Schneeweisz	
Benno Premsela	1997
Roeland Gerritsen	
Willy Coolsaet	
Eva van Schaik	
David Vaughan	
Hans Snoek	
Kees Hogenbirk	
Ben Knapen	
Margriet de Moor	
Mark Richartz	
Hugo Brems	
Edith van Ruyven	
J. van Heetvelde	30 september 1528
Jean-Pierre Plooij	1994
Guy Widdershoven	
Wim Tigges	
Xandra Schutte	
Peter Verhelst	
Joris Verheijen	
Ed Leeflang	17 maart 2008
Dago Steenis	
Peter Nijssen	
Frank vande Veire	
Mario Gommeren	
Jan Hein Furnée	
Carine Meulders	
Frans Kingma	
Kees Bruin	
Jorge Esquinca	
Alexander Koesjner	
Annegret Böttner	
Dino Campana	1 maart 1932
Onno Kosters	
Weldon Kees	1955
Simon Armitage	
Yves Bonnefoy	
John Ashbery	3 september 2017
Peter Handke	
Philippe Jaccottet	
Michael Donhauser	
Michael Ondaatje	
Hans Kloos	
Bruno K. Öijer	
Franz Baermann Steiner	1952
Jacques Roubaud	
Olga Sedakova	
Ulrich Meister	
Ad Beenackers	31 maart 2012
Tonnus Oosterhoff	
Maarten van Delden	
Mario Vargas Llosa	
Juan José Arreola	
Juan Carlos Onetti	
Horacio Quiroga	
J.L.J. van Schoot	
G. Vertogen	
Arnold Heumakers	
Dirk van Delft	
Johan Reyniers	
Hugo Dittberner	
Esther Jansma	
Etienne van Heerden	
Roland Jaccard	
H.J. Houte	
Slavoj Zizek	
Thomas Elsaesser	
Marc de Kesel	
Predrag Dojcinovic	
Margreet Schouwenaar	
Geert Lernout	
Lucy Grealy	
Marian Lameris	
Herman Cohen	15 augustus 2005
Joh. R. Vlek	
Herman Philipse	
Anton Ent	
R.B. Kitaj	
Dorinde van Oort	
Dirk van Weelden	
Clarín	
Doeschka Meijsing	30 januari 2012
Phillip Herring	
M. de Boer	
Jan Hontscharenko	
Paul Bogaert	
William Carlos Williams	
Chris Honingh	
Wieke Bonnier	
Eltjo Muntinga	
Marie de Meister	
René J. van Boven	
Jan Lampo	
Joris Denoo	
Frank Verkuijl	
Martien Kappers	
Johan de Boose	
Else Lasker-Schüler	
H.C. Halberstadt-Freud	
Joke J. Hermsen	
Lut Missinne	
Thomas Leeflang	
Karen Vintges	
Christa Stevens	
Antoine Verbij	9 oktober 2015
Winnie Sorgdrager	
G.M. Hopkins	
W. Bronzwaer	20 januari 1999
Rudy Bremer	
Saint-John Perse	
Claude van de Berge	
Monica Soeting	
Philippe Sollers	
Leonard Beuger	
Hans Achterhuis	
Mark Boog	
Peter Swanborn	
Graciliano Ramos	20 maart 1953
Gerard Nienhuis	
André Schmitz	
Josef Winkler	
Seamus Heaney	30 augustus 2013
Jan Eijkelboom	27 februari 2008
Bora Cosic	
Mattijs van de Port	
Ariejan Korteweg	
Zoran Djukanovic	
Rüdiger Safranski	
Joost Niemöller	
Thomas Rosenboom	
Magnus Hisrschfeld	1935
Edouard Roditi	1992
Dieter Hülsmanns	
Erik Zürcher	7 februari 2008
Maghiel van Crevel	
Chuan Xi	
Peter Buwalda	
O. Hammerstein	
Martijn van Calmthout	
Yücel Yesilgöz	
Ankie Lempens	
Ole Bouman	
Menno Tamminga	
Jos de Wit	
Hein Groen	
Jan Heemstra	
Marc Schoorl	
Herman Koch	
Koen Peeters	
Pol Hoste	
Leon Gommers	
Russell Artus	
Peter Theunynck	
Erik Menkveld	30 maart 2014
Arjen Mulder	
Eric de Kuyper	
Wim Hottentot	
Peter Verstraten	
Basha Faber	
Klaus Theweleit	
Manon Uphoff	
Gert Hekma	
Leo Steinberg	
Yukio Mishima	25 november 1970
Jacques Westerhoven	
Jantine Oldersma	
Wislawa Szymborska	1 februari 2012
Gerard Rasch	10 maart 2004
Felicitas Hoppe	
C.F. van Beusekom	
Sven Danner	
Sjaak Koenis	
Harry N.A. Priem	
Kees 't Hart	
Pam Emmerik	3 juli 2015
Joke van Leeuwen	
Hedda Martens	
Charles Simic	
Michael Eenhoorn	11 september 2002
William T. Vollmann	
Nicolaas Matsier	
Oek de Jong	
Alain Robbe-Grillet	18 februari 2008
Els Broeksma-van Capelle	
Bart Verschaffel	
Karl Krolow	
René Boomkens	
Herman de Coninck	22 mei 1997
Hugo Bousset	
Atte Jongstra	
Yra van Dijk	
Goffe Jensma	
Koen Koch	21 januari 2012
Rinus Ferdinandusse	
Roelof Haveman	
Marjan Wijers	
Jan Willem Duyvendak	
L. Laeyendecker	
Yves van Kempen	
Joyce Outshoorn	
Wouter Vanstiphout	
Harry Oosterhuis	
Chris Rutenfrans	
Tom Schalken	
Pamela Koevoets	
Rob Schouten	
Kees Vuyk	
Frank Reijnders	
Ciaran Carson	
Frits Abrahams	
Ed van Thijn	
Maria Stahlie	
John Jansen van Galen	
Mirjam Schöttelndreier	
Thijs Wöltgens	7 mei 2008
Ido de Haan	
Stella Braam	
Irene Costera Meijer	
Jos de Putter	
Arnon Grunberg	
Helga Ruebsamen	8 november 2016
Michael Frijda	
Maarten Elzinga	
Kees Bokweide	
Marjoleine de Vos	
Chris Lorenz	
Jos van der Lans	
Jeroen Onstenk	
Kees Vreugdenhil	
Charles Reznikoff	22 januari 1976
Jules Laforgue	
Matsuo Basho	
Gregor Laschen	
Lennart Sjögren	
Theodore Roethke	1 augustus 1963
Ria Loohuizen	
Ernst Jandl	
Adolf Wölfli	
Joannes Six van Chandelier	
Johannes Bobrowski	2 september 1965
Caroline Lamarche	
Bibiana Mikkelsen	1964
Arnaq Grove	
Stine Jensen	
Hein-Anton van der Heijden	
Godert Posthumus	
Bart Moeyaert	
Tayeb Mokeddem	
Pierre Michon	
Rokus Hofstede	
David Foster Wallace	
Göran Tunström	2000
Bertie van der Meij	
Marcel Beyer	
Wil Hansen	
Durs Grünbein	
Sasbout Beukelsz. v.d. Burch	1 april 1591
P.C. Verveen	17de eeuw
Mirna Velcic-Canivez	
Pim van Tol	
Armand van Assche	27 augustus 1990
Bob Baljet	
K. van Berkel	
Marijke Besselink	
Fred Dijs	
Otto Egberts	
Roelof van Gelder	
Tijs Goldschmidt	
Harm Habing	
Hubert-Jan Henket	
Wim Hofman	
Frederike Huygen	
Aad Kosto	
Reinier Lucassen	
Fred Pelt	
Marieke Sanders-ten Holte	
Gary Schwartz	
B. Sliggers	
Jan Tromp	
R.P.W. Visser	
Bart Vos	
J.H. van der Waals	
Aryeh Lev Stollman	
Babet Mossel	
Matthé Sjamaar	
Huib Schwab	
Raj Kamal Jha	
Jelle Noorman	
Gijs van Oenen	
Koedooder & Heilig	
Derek Walcott	17 maart 2017
Hans Onno van den Berg	
Gustav Herling	4 juli 2000
Peter-Paul Verbeek	
Petran Kockelkoren	
René Puthaar	
Bart Vervaeck	
Erwin Mortier	
Martin Bril	22 april 2009
Simon Frith	
Pieter Cramer	
Wouter Klootwijk	
Ivan Nio	
Arjan Witte	
Ko Kooman	
Peter Holvoet-Hanssen	
Miguel Declercq	
Max Beckmann	27 december 1950
Thomas Vaessens	
José van Dijck	
Brady Udall	
Bert Meelker	
Guus Middag	
Robert Gernhardt	 2006
Gerrie Bruil	
Joost Zwagerman	8 september 2015
Anton van de Wardt	
Jonathan Treitel	
M.E. Belpaire	9 juni 1948
Paul Alberdingk Thijm	1 februari 1904
Jan Lodewijk Mercelis	22 februari 1918
Hilda Ram	12 juli 1901
Hector Claeys	3 september 1925
August Cuppens	1 mei 1924
Gustaaf Verriest sr.	25 juni 1918
Hugo Verriest	27 oktober 1922
Henri Donders	1932
Eug. de Lepeleer	1923
A.M.J.I. Binnewiertz	1915
Delfien Vanhaute	3 februari 1944
Jaak Muyldermans	11 september 1929
Omer Karel de Laey	16 december 1909
A.W. Sanders van Loo	1939
H.J.A.M. Schaepman	21 januari 1903
Jozef Jacobs	1938
Prosper van Langendonck	7 november 1920
Jacob Lenaerts	1913
Aloïs Walgrave	28 februari 1930
Hendrik de Marez	28 augustus 1906
Jef Hinderdael	2 februari 1948
Pieter Danco	?
C. van Ongeval	
Paolo Gentili	
Edward van Even	11 februari 1905
Lambrecht Lambrechts	13 juli 1932
L. Scharpé	4 mei 1935
Peter Jozef Tijsmans	
Adriaen Lourisz Lepel	17de eeuw
Desideer Claes	1910
A.G. Welvaar	
Th. Heidebrand	
A. Weemaes	
Edward de Grijse	1909
H. Bischoff	
Fr. Meeus	
A. Verheyen	
H. Sermon	2 augustus 1904
van der Veur	
Lambert Jageneau	1984
Alb. vander Elst	
Caesar Gezelle	11 februari 1939
John Lancaster Spalding	
Jules Persyn	10 oktober 1933
Ch. Lucas	
Florimond Heuvelmans	21 april 1931
de Ticheleer	
Leo Goemans	1955
Adolf de Ceuleneer	25 november 1924
Emiel de Grave	
Mimosa	
A. Habets	
Johannes Romboldus van der Lans	1928
August Victor Bultijnck	
P.C. de Bruyne-Klinkenberg	
Melati van Java	13 juni 1927
Martin Brants	6 december 1952
Ed. Loos	
Jan Kornelis de Cock	6 april 1941
J. Erembout	
Johannes Jörgensen	29 mei 1956
Arthur Wenthworth Powell	
Jan Craeynest	23 april 1929
Joz. vanden Eynde	
Louisa Duykers	20 december 1952
H. van Houtte	12 oktober 1948
G.H. Haastert	
Adolf Rutten	
Alphonse Naert	26 maart 1907
Jan Stuyt	
Eugène Isebaert	
Alfons Mervillie	4 april 1942
Eugeen Leën	20 augustus 1932
P.L. van den Heuvel	
C.P.F. Lecoutere	29 september 1921
Paul Hamélius	23 februari 1922
A. Prayon-van Zuylen	 1916
J. Sencie	
Simonart	
P. Rutten	
Constant Eeckels	19 september 1955
Henri W.J. Schouten	
H. de Vocht	 1978
C. Callewaert	
Lodewijk De Wolf	12 november 1929
I. Vandegaer	
F. Palmen	
O. Cornet	
Lodewijk Dosfel	27 december 1925
Paul Bellefroid	14 februari 1959
G. van Poppel	
Hubert van Fall-Mheer	
H. Hosdey	23 februari 1906
Frans van Cauwelaert	17 mei 1961
Jean-Baptiste de Bethune	24 maart 1907
D. Staroger	
A. Bertang	
J. Kleyntjens	
Em. van Cappel	19 april 1948
A. van Eigenleven	
C. de Waal	
J.W. van Heeswijk	
Ernest Soens	
Simon Staf	
Lodewijk Ontrop	18 november 1941
A. van Wassenhove	
Alfons de Cock	2 maart 1921
Jozef de Voght	17 juli 1956
J. Lievens	
Jan van Leenen	
X. Smits	
J. Kautzen	
Jozef Muls	22 april 1961
H. Gabriëls	
F.P. Lorreins	
Eug. vander Heyden	
Lodewijk Vincent Scheltjens	4 november 1946
J. Jacobsen	
Fr. van den Weghe	
B. Adriaansen	
E. Vliebergh	
Emiel Hullebroeck	1965
C. Clerckx	
Franz Mets	
E. van Fraechem	
J. Verest	
Alfons Siffer	1941
Joris Eeckhout	28 februari 1951
L. Ghys	
Tom Bruce	
Leo van Nerum	24 augustus 1905
Dirk van Minden	
A. Carnoy	12 januari 1961
Cl. Buvé	
I. de Vreese	
Omer Wattez	26 maart 1935
Albrecht Rodenbach	23 juni 1880
R. Maere	
W.W. Druenlanders	
Karel Elebaers	24 juli 1961
Z. Peeters	
A.M. van Kersbeek	
E.J. Mertens	
J. Fischer	
Alfons Moortgat	4 januari 1962
Thomas Ryetius	
P. Henneckes	
Th. van Tichelen	4 december 1945
Jan Franssen	
P.J. Stinissen	16 oktober 1913
Titus Brandsma	26 juli 1942
Stephanie Vetter	
Fr. Ludovicus Blomme	
D.A. Dyland	
R. Lemaire	1954
L. Noël	
Floris Prims	26 oktober 1954
Em. Broes	
Gabriël Verborght	
A. Taelman	
B. van Kesteren	
L. van der Essen	1963
Jan Gessler	2 april 1952
Felix Timmermans	24 januari 1947
J. van Mollé	
Johannes van Well	1943
Octaaf Steghers	20 oktober 1942
E. van Leuven	
Fr. Bertrand	
Julie van der Lans-Russel	1956
Arthur de Vos	
Gerrit Grijns	1944
F. Verhelst	
F. Dewitte	4 maart 1979
H. Coppieters	
Fr. Stanislas	
S.L. van Berne	
Ernest Claes	2 september 1968
J. Jos Kempenaers	
J.F. van Olmhof	
Juul Grietens	19 juli 1936
Petrus Dubois	7 november 1708
L. Ghijs	
F. van Calloo	
Theo Brakels	
J. Wagemans	
Jozef de Cock	31 mei 1944
Jules van Nuffel	25 juni 1953
M. Dewickere	2 december 1952
J.B. Goetstouwers	
J.-J. Symoens	
V. Voorden	
Emiel Fleerackers	1 juli 1948
Ivo Struyf	2 maart 1950
J. Mansion	1937
L. Delporte	
E. Paque	1918
J. Mees	
Dés. de Kock	
Arthur Meulemans	1966
Gust Doussy	
C.W. van Berkel	
Joseph Feskens	
Frans Delbeke	1947
A. Baert	
P. Petrus M. Janssens	
O. d' Hose	
P. Bertrand	
J. Stuyck	
Floris de Cuyper	
Albin van Hoonacker	1 november 1933
Jozef Arras	20 februari 1919
Jacob Mees	16 november 1970
K. de Wals	
H. Mansion	
P. Soens	
Gust. Hens	
Arthur Coussens	19 januari 1926
René Adriaensen	
A. Verstreken	
Jozef Vercoullie	4 februari 1937
P. Placidus Eykens	
P. Hildebrand	
Jaak van Rettipo	
F. Michielsens	
Karel van de Vijver	
Berthold Missiaen	23 augustus 1932
E.H.Hendrik de Vis	
Goevaart	
Leo van Riel	
Aloïs Van Loy	
Armand van Veerdeghem	20 maart 1943
Emiel van der Straeten	9 februari 1918
Jan Bernaerts	20 oktober 1956
H. Brutsaert	
Cyriel de Baere	14 oktober 1961
P. Janssens	11 maart 1971
Ivo Cornelis	
Jan Hammenecker	13 juni 1932
Sam Devriendt	
George Roose-Antonissen	
P.A. van Rooy	
Léonce Reypens	30 juli 1972
Aug. Bruijnseels	
Camille Poupeye	29 november 1963
A. van den Dries	
Henri van Deursen	
Jozef Simons	20 januari 1948
Perquy	
A.J. van de Perre	1925
Marcel Romeo Breyne	13 november 1972
Fernand Toussaint van Boelaere	30 april 1947
J. de Berraly	
P. de Dura	
D. Logeman-van der Willigen	30 oktober 1925
A. van Beirendonck	
Victor Naveau	8 januari 1930
Radvliet	
Jos Pierreux	
Ivo Engelen	
E. van Dievoet	20ste eeuw
J. Buelens	
Lod. van Mierop	13 juni 1930
A. Lhorijn-Thans	
G. Kurth	1916
Leo van Dorpe	
Jan Job	
Aug. Bruynseels	
Jef Crick	8 juni 1965
C. van Malten	
L.H. Smeding	
Maria Viola	19 augustus 1951
Edward Vlietinck	2 oktober 1937
Jaap van Manen	
Raphael Ligtenberg	
H. Pauli	
Rob. Ree	
L. Bril	
Aloïs Janssens	1941
P. Berthold	
Joseph Bittremieux	31 oktober 1950
C.J. Vierhout	
Cyriel Verschaeve	8 november 1949
Koh-i-noor	
Leo Speet	19 februari 1942
[tijdschrift] Van Onzen Tijd	
J. Caekbeke	
Edward Vermeulen	6 juli 1934
Edward van Bergen	
K. Camerman	
Albert van Driessche	19 augustus 1961
Paul van Alderman	
Juul Filliaert	24 december 1948
Joost Stokers	
Gery Helderenberg	9 december 1979
L. Vermeirsch	
Johan van de Natuur	
Joh. van Dinter	
Odo Siril	
Filip de Pillecyn	7 augustus 1962
Huber Lebon	
J. de Porr	
Lodewijk van Eyck	16 november 1973
Joseph Laenen	1940
Maurits van Hoeck	1950
Frans Verschoren	5 december 1951
Evermar van Moere	1962
J.F.M. Coveliers	6 mei 1917
R. Foncke	19 juni 1975
Florentijn Jan van der Mueren	23 december 1966
V. Willems	
Owen Feltham	23 februari 1668
zuster Maria Jozefa	1961
Dirk Vansina	16 januari 1967
René Gaspar	21 september 1958
Jan Boon	31 december 1960
Wilhelm Scherer	6 augustus 1886
Remy Saen	
Joris Caeymaex	12 juni 1970
Lambert Aerts	1937
Leo Bittremieux	21 september 1946
Josette Pasquasy	
August Nobels	1938
van Huffelen	
A.R. Vincke	
M.R. Pauwels	
Hilaire Allaeys	16 oktober 1934
Amaat Vyncke	17 oktober 1888
E.D. van Nuffel	
Julius de Wachtere	
Jozef Goethals	
P. Kubben	
J. Coenen	13 mei 1958
Jos. de Roeck	
Constant Lindemans	3 oktober 1977
Lynn Doyle	1961
Alexander Elberts	14 oktober 1852
Jan Paquay	
L. Grootaers	12 oktober 1956
A. van Langendonck	
Eva Moltesen-Hällström	
Karel Brants	
Hubert van de Weerd	30 mei 1951
Jef Scheirs	14 juli 1960
Prosper Poullet	1937
P. Thuysbaert jr.	8 november 1965
Raynerius Podevijn	
Eugène Joors	23 oktober 1910
Hendrik Mande	1431
Eduard Amter	2 juli 1969
Stephanus de Clippele	31 oktober 1959
I.S. Toergenjev	1883
Jos. de Klerk	
Maurits Coomans	1952
A. Geerebaert	1944
Edmond Rubbens	27 april 1938
Johannes Tauler	
A.L. Corin	10 september 1968
J. van Malderen	
Edw. De Schaepdrijver	
Jozef van Reusel	29 januari 1958
Lode Monteyne	12 november 1959
Jan Bols	1921
Anton Van de Velde	21 juni 1983
L. Debruyn	
Frisc over de Heiden	
Karel Pauwels	
B.H. Molkenboer	1948
Frans d'Haese	
Jos Vermeulen	1956
Oscar Monstrey	21 mei 1935
Clemens van der Straeten	9 oktober 1961
Jos Spriet	
L. Uten	7 augustus 1972
Semper Jejunus	
A. Nagels	
Joseph Coppens	23 mei 1981
Mirza Riza Viham	
Raphaël M.J. Kreemers	1936
Karel van Sull	
L. Seurinck	
J. Rombouts	2 maart 1952
Stephanie Claes-Vetter	9 oktober 1974
Arthur Boon	1938
R.V. Mortier	2 augustus 1958
Eugenius Druwé	
Gérard Philips	1972
J.A. Goris	1984
Charles Gillès de Pélichy	7 maart 1958
J. Heyrman	
Odilon Demarre	1960
Leonie Weckx	
Julius Plancquaert	21 maart 1888
Hilarion Thans	10 januari 1963
Reinier Ysabie	17 september 1967
Odilo Jacobs	1 december 1972
J.A. Hallez	20 juli 1948
J.P. Colsen	1982
Vincent Cleerdin	15 juli 1946
C.H. de Ronde	
Joris Baers	14 augustus 1975
Th. De Ronde	1939
E.H.J. Bernaerts	
Lydia van Kerckhoven	
Juliaan De Vriendt	
Alice Nahon	21 mei 1933
D.F.F.J. Mercier	1926
K.L.M. Schoeters	
Clemens Daenen	16 september 1965
E. Jaulusz.	
Stan Dietvors	
Huib Hoste	18 augustus 1957
Oskar Katann	22 april 1967
Jac. Weil	1964
Eugeen van Oye	4 juni 1926
Herman Deckers	20 februari 1973
Mécs Laszló	9 november 1978
A. Cardyn	
Richard Dewachter	23 oktober 1975
André van Praag	
Ernest Closson	1950
Jan Chiapusso	21 augustus 1969
A.M. Pols	17 januari 1971
L. van den Eynde	
Pierre De Clercq	
L. de Smet	
Jozef Uytterhoeven	21 februari 1959
Léopold Levaux	20 mei 1956
Jos. de Brandt	
Robert Grosche	21 mei 1967
E.H.J. Hallez	
Huib Luns	24 februari 1942
Constant Godelaine	12 juni 1942
August van Boeckxsel	1951
J. Groot	
A.J. Hallez	
Edgar Lee Masters	
Francisque Darcieux	1 augustus 1951
Victorinus Groot	
Adolf ter Haghe	
Jef Notermans	26 juli 1987
Pablo Sáenz de Barés	1939
Alfons Ariëns	7 augustus 1928
Albertine Steenhoff-Smulders	10 oktober 1933
Rita Hostie	
F.S. van Bouwdijk Bastiaanse	27 oktober 1953
Rob. Roemans	29 februari 1968
Theo Cruysse	
H.J. de Vleeschouwer	15 augustus 1986
Marc de Munnynck	21 april 1945
Arnold Sauwen	11 mei 1938
Sigrid Undset	10 juni 1949
O. Praem	
C. Ldov	
Maurits S.C.M. Molenaar	23 juli 1969
Robert van Passen	1963
Jeanne de Bruyn	25 mei 1975
Frans de Wilde	25 mei 1981
Theodoor Belpaire	
Gottfried Hasenkamp	2 september 1990
Gabriël Merlier	
Paul Van de Woestijne	12 oktober 1963
Pol Douliez	
Hildegard van Bingen	17 september 1179
Aimé de Marest	21 april 1960
C. Vervaever	
J.F.J. van Tol	9 september 1965
Pol Heyns	12 april 1960
G. van Mulders	1928
Christian Rimestad	25 februari 1943
Johan Oskar Larsen	
Valfrid Palmgren	6 december 1967
Erik Jespersen	
Jörgen Bukdahl	2 november 1982
Joh. Nordahl-Olsen	1937
Karl Madson	
Erling Lauhn	2 oktober 1972
Peder Gram	4 februari 1956
Selma Lagerlöf	16 maart 1940
Karl Gustav Ossianilsson	14 maart 1970
Edvard Welle-Strand	1964
Theo Findahl	19 mei 1976
Pertinax	11 december 1974
R. van Pottelbergh	
F.A. Vercammen	7 mei 1971
Jan Bloem	
A. Mansion	
G. van Overbeke	
Ruth Schaumann	1975
Giovanni Vittorio Amoretti	15 november 1988
A. Della Corte	12 maart 1968
Arrigo Levasti	19 april 1973
Guido Piovene	12 november 1974
Cipriano Efisio Oppo	10 januari 1962
G.A. Borgese	4 december 1952
Ada Negri	11 januari 1945
Domenico Giuliotti	12 januari 1956
Michelangelo Zimolo	
Edgard de Bruyne	6 mei 1959
Vincenzo Cardarelli	18 juni 1959
Antonio Fogazzaro	7 maart 1911
Sergio Corazzini	17 juni 1907
Nicola Moscardelli	21 december 1943
Franco de Wyels	
Louis Knuvelder	1982
A. Stracke	
Eugène de Hovre	19 april 1937
Leo Picard	1981
J. Rodolfo Lozada	
Amado Nervo	24 mei 1919
E.H. de Craene	1956
A.G. Christiaens	4 juni 1989
Jef Claes	
Rob van Roosbroeck	14 mei 1988
Karel Verbeke	
Paolo Arcari	1955
H.J. Elias	2 februari 1973
Guido Eeckels	22 juni 1986
J. van de Velde	
Franz de Backer	23 juni 1961
Theo Bogaerts	21 juni 1971
Frank van den Wijngaert	1962
Paul Verbruggen	17 juni 1966
Cornelis Backer	30 juni 1864
J.C.J. Bierens de Haan	18 december 1951
Georg Moenius	2 juli 1953
Günther Müller	9 juli 1957
Friedrich Muckermann, S.J.	1946
Willem Gijssels	5 februari 1945
Marcel Lobet	19 oktober 1992
R.B. Lenaerts	1992
F. Collin	11 december 1990
Jozef de Wilde	1993
William van den Aker	1978
Andries Morlion	10 december 1987
Rudolf Arnheim	9 juni 2007
Karel Dekeukeleire	1 juni 1971
P. Seligmann	
Lode Geysen	
L. Patris	
René Devos	
D. Lunders	
J.G.R. van Dyck	
Theodor Absil	1965
Staf Weyts	12 januari 1985
Lanceloot	
Stephanus G. Axters	2 juli 1977
Thierry de Wael	
Em. de Deyne	
Paul Sobry	25 januari 1954
P. Vermeiren	
Paul Lebeau	20 oktober 1982
Alfons Walschap	5 november 1938
Fernand Bekaert	
Pomp de Basschaerde	
P. Morlion	
Han. Jonkers	
Oskar van der Hallen	3 augustus 1979
Jef de Pillecijn	1956
Ludwig Drees	17 maart 1986
Maurits Peeters	1979
P.J. Weckx	
Fernand Deschamps	15 maart 1957
Peter Benoit	8 maart 1901
J.F. Vanderheyden	9 oktober 1987
Hugo Anns	
F. Philips	
René Goris	1989
Paul Franck	
Walther von der Vogelweide	1230
Frans Verachtert	1988
L. Delwaide	
Jos. Wils	
Bert Ranke	1997
O. Westerlinck	
Joh. Boe	
Taeke de Groot	
H.H.J. Maas	27 januari 1958
D. Zijlstra	14 mei 1940
R. van Cauwelaert	
Frans Tobback	
V.E. van Uytvanck	25 maart 1950
Jef Contryn	1991
Leo Galle	1991
Jan Bertels	
Maurits de Doncker	4 juni 1966
Desiderius Erasmus	12 juli 1536
Rainer Maria Rilke	29 december 1926
J.L. de Belder	7 december 1981
Thilda Deckers	
Korneel Goossens	1971
Jan Kestens	
Robert Maistriaux	
Ludo Van de Wijgaert	12 oktober 1989
Flora de Lannoy	1958
W.A. de Witte	
Frans Broekaert	
Irma van de Port	
Isabelle Landuyt	
Gilbert Degroote	18 september 1981
Marc Staels	
Max Lamberty	13 augustus 1975
Willy Vaerewijck	9 oktober 1982
Fred. Walecijn	
Paul de Ryck	23 september 1956
Marcel Grypdonck	1996
Novalis	25 maart 1801
Ludo Poplemont	1984
Luc Indestege	11 juli 1974
Luc van Brabant	12 mei 1977
Liesbeth van Thillo	1988
Leys Achiel	
Karel Capek	
Max Kijzer	31 maart 1944
Jean-Charles Snoy et d'Oppuers	17 mei 1991
J. Keunen	6 mei 1983
P. Verberne	
Maurits Wille	
Vital Celen	8 september 1956
Leo Landsman	
A. Plas	
Robert Storm Petersen	6 maart 1949
Alfons van Beylen	
Stefaan Leonard	
Marie Schous	
H. van Lennep	
Marcel Tobie	
Luc van Hoeck	
Basiel de Craene	10 mei 1956
Jan Melis	21 juni 1974
P.Em. Valvekens	1944
Camiel van Deyck	1963
Hendrik Prijs	18 juni 1984
Gerard Michiels	1992
Elmar Borg	2002
Jan D'Haese	30 januari 2005
H. Brugge	
Robert Guiette	8 november 1976
Jo de Meester	
Xavier Pruszynski	1950
Lambert Swerts	1980
Waclaw Husarski	
Tadeusz Breza	1970
Waclaw Sieroszewski	1945
Kazimierz Tetmajer-Przerwa	
Venceslas Berent	1940
Emil Zegadlowicz	
Tadeusz Boy-Zelenski	1941
Leopold Staff	
Juljusz Kaden-Bandrowski	1944
Zofja Nalkowska	1954
I.K. Illakowicz	16 februari 1983
Ferdynand Goetel	
Zofja Kossak-Szczucka	9 april 1968
Julian Tuwim	
Jan Parandowski	26 september 1978
Jaroslaw Iwaszkiewicz	
Maria Jasnorzewska	9 juli 1945
Herminia Naglerowa	9 oktober 1957
Maria Dabrowska	19 mei 1965
Jozef Wittlin	28 februari 1976
Jan Lechon	
Marja Kuncewiczowna	
Eva Szelburg Zarembina	1986
Michal Choromanski	1972
Kazimierz Wierzynski	13 februari 1969
Jozef Czechowicz	1939
Swiatopelk Karpinski	1940
Jozef Lobodowski	1988
St. Pietak	
Amedée Arents	1973
P. Keymeulen	
Saint-Rémy	21 augustus 1979
Maurits Bilcke	1993
Era Lobet	
Lode Quasters	17 april 1983
Jos de Haes	1 maart 1974
Elisabeth Dhanens	
George Meir	1944
August Corbet	1964
E. van Uytbergen	
P. van Keymolen	
Ventura García Caldéron	1959
Michel Demedts	
Filippo Donini	
Jan L. Broeckx	19 augustus 2006
Paul Walkiers	
Piet Zonderzorg	
Maria Huybrechts	
José de Ceulaer	1994
Aster Berkhof	
A. Kriekemans	1986
August Vanistendael	8 september 2003
Louise Labé	25 april 1566
Lode Cantens	1955
Nic van Beeck	1970
J.L. Pauwels	1989
Honoré van Waeyenbergh	19 juli 1971
Jan Valvekens	25 augustus 1951
Frank Meyland	31 mei 1993
Abel J. Coetzee	1975
Gabriela Mistral	10 januari 1957
René J. Seghers	3 maart 1974
August Vercauteren	
Joris Dedier	
Firmin van Hecke	29 juli 1961
Albert de Longie	29 oktober 1979
Adriaan Magerman	12 oktober 2000
John L. Brown	
B. Boeyckens	
R.F. Lissens	
Emiel van Hemeldonck	13 januari 1981
Remi van de Moortel	12 oktober 1993
Ant. Gobert	
Marcel Brauns	2 september 1995
Gerard Verbeke	27 maart 2001
H. Draye	1983
W.J. Elsman	
Reninca	
Marius F. Valkhoff	1980
C.M. van den Heever	7 juli 1957
Paul Van Keymeulen	16 oktober 2006
Lode Campforts	1980
N. Wildiers	
Louis Janssens	19 december 2001
Pierre Berteloot	
Willem van den Broeck	
Willy Peremans	14 augustus 1986
Jan van den Broeck	
W. Vanbeselaere	3 mei 1988
Maurice Schuyten	
Émile O.J.J.G. Lousse	1986
R.K.J.E. Antonissen	1972
Karel Vertommen	27 juli 1991
Fr. Nooyens	
Julia Tulkens	1995
Betsie Hollants	1996
Frans van Boogaerdt	
Rosa Temmerman	
Mona van Garsse	
Pieter-Emmanuel Oyen	
Paul de Smaele	1965
G.M.J. Duyfhuizen	
Maxime Deswarte	1989
Frans Verstreken	2003
Roover de Rik	
Yrjö Kaijärvi	6 februari 1971
Hans Reykers	
Alex de Herdt	
G. Jo Steenbergen	1997
W. Everaet	
Joos Florquin	1978
Jos van der Steen	
Henri Schoofs	10 februari 2006
Gaston Duribreux	27 mei 1986
Johan van Mechelen	1 december 2007
Fr. Claessens	
Victor Heylen	19 april 1981
Ver. van de Vijver	
Margriet Baers	12 oktober 1922
Hubert Verwilghen	1955
