Author	DOD
W.J. Hofdijk	29 augustus 1888
F.M. Cowan	26 juli 1862
J.G.A. Faber	1885
Johannes Adriaan Molster	27 september 1889
Henriette Frederika Bosscha	14 januari 1912
Hendrik Jacob van der Heim	13 februari 1890
C.L. van Woelderen	20 juli 1860
Eugen Mehler	2 februari 1896
Jacob Riehman	1726
Louis Susan Pedro Meyboom	13 november 1874
Daniel Koorders	26 januari 1869
L.M. Heemskerk	
J.L. Dusseau	9 januari 1887
Marinus Lodewijk van Deventer	22 januari 1892
A. Rientjes	1961
S.J. Hoekstra	2 april 1858
Arie de Jager	26 april 1877
Gozewinus Acker Stratingh	22 oktober 1876
Winand Carel Hugo Staring	4 juni 1877
H.W. de Graaf	?
Pieter Arend Leupe	15 februari 1881
Guillaume Henri Marie Delprat	4 januari 1871
C.C. Huysmans	28 november 1886
W.M. Perk	1885
K.A. Rombach	24 april 1891
Jan Willem van Sypesteyn	26 februari 1866
H. van Cappelle jr.	24 augustus 1932
Elise van Calcar	13 juli 1904
Theo Hermans	
F.J. Swartwout	
Cornelis Hooyer	18 juli 1873
Daniël Veegens	18 april 1884
Johannes Bosscha	9 december 1874
L.J. Egeling	24 november 1892
Sytze Hoekstra Bzn.	12 juni 1898
Pieter de la Court	28 april 1685
Johan de Witt	20 augustus 1672
J. Tideman	8 februari 1901
F.A.W. Miquel	23 januari 1871
D.J. Coster	21 februari 1892
Carl A.X.G.F. Sicherer	9 februari 1886
Adriaan Loosjes	21 juni 1902
Jan Herman Herman de Ridder	6 januari 1893
R.T.H.P.L.A. van Boneval Faure	19 augustus 1909
Pieter Nicolaas Muller	23 september 1908
Joannes Tideman	9 oktober 1891
H. van Cappelle	8 februari 1890
Jan Willem van der Noordaa	9 april 1880
Samuel Adrianus Naber	30 mei 1913
Willem Doorenbos	18 februari 1906
H. Halbertsma	1998
P.J. Hollman	1 januari 1901
Antonius van der Linde	13 augustus 1897
Cornelius Marinus de Jong van Rodenburgh	25 februari 1899
Nicolaus Meursinge	1884
Mari Johan Mees	15 april 1894
Lodewijk Willem Ernst Rauwenhoff	26 juni 1889
Lodewijk Mulder	14 mei 1907
N.W.P. Rauwenhoff	1909
J.C. Reepmaker	1903
Jan Jacob de Gelder	15 april 1890
L. de Hartog	1918
Johan Adam Wijnne	1 augustus 1899
E. van der Ven	27 juni 1909
Jan Pieter Nicolaas Land	30 april 1897
Jan Gerrit Hulleman	30 mei 1862
Abraham Kuenen	10 december 1891
E. Moll	27 mei 1896
Johannes Pols	10 september 1885
B.M. Perk	
Adrianus Bruinvisch Maatjes	31 augustus 1873
Antony Winkler Prins	4 januari 1908
J.W. Muller	18 maart 1945
Albert Hendrik Arnoldus Ekker	5 januari 1899
Ben Sloot	
Wilhelm Christiaan Knottenbelt	13 oktober 1875
C.P. Tiele	11 januari 1902
