Author	POB
Truman Capote	Verenigde Staten
Edward Arlington Robinson	Verenigde Staten
Carl Sandburg	Verenigde Staten
Jan G. Elburg	Wemeldinge
Ezra Pound	Verenigde Staten
Horace Gregory	Milwaukee, Wisconsin
Charles-Henry Ford	Hazlehurst
Kenneth Patchen	Verenigde Staten
Thomas McGrath	Sheldon (North Dakota)
Gerrit Kouwenaar	Amsterdam
Robert Hayden	
Zack Gilbert	
Annetje Reens-Neufeld	
Frederick Franck	Maastricht
Casper Höweler	
E.G. Marshall	Owatonna
Anna Blaman	Rotterdam
Jan Spierdijk	Amsterdam
Jan Lincklaan Westenberg	Zutphen
Hendr. Ad. Warmelink	Deventer
Mea Verwey	Noordwijk aan Zee
Harry Brander	
Laurens Welagen	
Barend Rijdes	Neerbosch
G.J. de Vries	Haastrecht
Maurits de Meyer	Elversele
Nes Tergast	Salatiga (Java)
Jan Sebastian Rabie	
Ernst Denny Hirsch Ballin	
Dola de Jong	Arnhem
Dolf Verspoor	Den Haag
Rivai Apin	
W. Nienaber-Luitingh	Amsterdam
A.C.M. Kurpershoek-Scherft	Den Haag
D.G. van Vreumingen	
J.V. Rijpperda Wierdsma	Nijmegen
Hans Lodeizen	Naarden
Simon Vinkenoog	Amsterdam
Lucebert	Amsterdam
Gerard Diels	Amsterdam
Theo J. van der Wal	Maastricht
Josine Reuling	Amsterdam
H.E. Greve	Ambarawa
Christine D'haen	Sint-Amandsberg, Gent
W.J. van der Molen	Broek op Langendijk
Tom Eekman	Middelharnis
N.E.H. van Esveld	
G.J. van der Woude	
Carlo (graaf) Sforza	Montignoso di Lunigiana
Giacomo Leopardi	
A.H. Luijdjens	
Enrico Nencioni	Florence
Gabriele d' Annunzio	Pescara
Goffredo Bellonci	
Vitaliano Brancati	Pachino
Antonio Baldini	Rome
Bruno Zevi	
Umberto Saba	Trieste
Giulio Carlo Argan	
Corrado Govoni	
Lionello Venturi	
Eugenio Montale	Genua
Mario Verdone	
Massimo Mila	
Emilio Lavagnino	Rome
Hugo Claus	Brugge
Fred Polak	
David Scheinert	Czestochowa
H. de la Fontaine Verwey	Hilversum
J.G. van der Ploeg	Rotterdam
A. Kessen	Maastricht
J.Th. Spaan	
Charles Baudelaire	Parijs
Barend de Goede	
Maria Dermoût	Pekalongan (Java)
H.W.J. Kroes	Zwolle
J.A. Rispens	Noordwijk aan Zee
W.A.F. Stokhuyzen	
H.I. Keus	
Marius Wilhelm Holtrop	
W.R. Heere	Amersfoort
J.P. van Praag	
H.C. van de Hulst	
Sj. Groenman	
A.D. de Groot	Santpoort
Jan Peters	
C.A.R. Graamans	
J.J. Vriend	Gorinchem
Charles Wentinck	
W. Drees	Amsterdam
Leo van Egeraat	Langeweg
G.J. de Grooth	
A. van Lennep	
Remco Campert	Den Haag
Jan de Jong	
D.Th. Enklaar	Utrecht
J.H.J. van der Pot	Roosendaal
Maps Valk	
H. Wielek	Keulen
A.A.M. Horsting-Boerma	Veendam
William Faulkner	
Ch.G. Matser	Arnhem
W.J. de Haas	Amsterdam
H.B.G. Casimir	Den Haag
J.E. de Vos van Steenwijk	Zwolle
A.J. Kluyver	Breda
P.O.F.M. Cremers	Arnhem
W.A. Braasem	Soerabaja
Justus Meyer	
Cola Debrot	Kralendijk
W.Gs Hellinga	Haarlem
Guillaume van der Graft	Rotterdam
Hendrik Jan Reinink	Groningen
K.H.R. de Josselin de Jong	Den Haag
Ad den Besten	Utrecht
Pier Westra	
M.J. Francken	
Charles Webster	
Ernest Barker	
William A. Robson	
Oscar R. Hobson	
William Wilson	
Thomas Hardy	
Dylan Thomas	Swansea
Max Schuchart	Rotterdam
Doris Lessing	Kermanshah
Reyner Banham	
Robert Melville	
Marius Flothuis	Amsterdam
C. Nicolaï	
Charles Boost	Breda
F. Bender	Amsterdam
H.H.J. de Leeuwe	Essen
Leo Herberghs	Heerlen
A.C. Niemeyer	
J. Petri	
Herman van den Bergh	Amsterdam
Henri Wiessing	Vlissingen
David Koning	Amsterdam
Adriaan van der Veen	Venray
Harriët Laurey	Eindhoven
J.H. Kernkamp	Utrecht
G.H.M. van Huet	Rotterdam
Alfred Kossmann	Leiden
Anton Kloppers	Semarang
Arthur Lehning	Utrecht
J.G. de Beus	
A. Graafhuis	
Jan Wit	Nijmegen
A. Alberts	Haarlem
Bernard Vlekke	Oud en Nieuw Gastel
W.H. Somermeyer	
L.P.J. Braat	Arnhem
Josepha Mendels	Groningen
Jan Vermeulen	Leiden
B.W. Schaper	Voorburg
Yge Foppema	Dedemsvaart
Jacques den Haan	Rotterdam
C. Vermeer	
J.J. Beljon	Schoten
Christiaan Terpstra	Den Helder
Michaël Deak	Alkmaar
J.B. Charles	Zwolle
Ido Keekstra	Groningen
Rie Cramer	Sukabumi
J.H. Plokker	Rotterdam
Nico Rost	Groningen
Bert Schierbeek	Glanerbrug
Marga Minco	Ginneken
Nico Wijnen	
Jan Meulenbelt	Amsterdam
Abel J. Herzberg	Amsterdam
E.A.A. Vermeer	
P.J. Arisz	
Maarten Mourik	Streefkerk
K. Lekkerkerker	Willeskop
Hafis	Iran
C. Bittremieux	Nieuwpoort
Adriaan Morriën	Velsen
Liane Bruylants	Berchem
J.H. Schouten	
Henk Romijn Meijer	Zwolle
M. Vasalis	Den Haag
J. Valentin	Den Haag
W.F. Dankbaar	Amsterdam
Evert Werkman	
Rein Blijstra	Harlingen
Reinder P. Meijer	Zwolle
Klaas Wiersma	
Elsa Frank	
Louis Saalborn	Rotterdam
Ary den Hertog	Den Haag
Ben Stroman	Rotterdam
B. Hunningher	Vlissingen
Jan Walravens	Anderlecht
W.P. Pos	Amsterdam
Luisa Treves	Amsterdam
E. Elias	Amsterdam
Wim Vesseur	
A. Pitlo	Arnhem
Luc Lutz	Delft
G.A.M. Eickholt	
Tjalie Robinson	Nijmegen
Léon de Greiff	
A. Teeuw	Gorinchem
C.L.W. Fock	Den Helder
Pieter S. Gerbrandy	Goënga
J.D. Meerwaldt	Amsterdam
Dirk Volker Nijland	
Max Croiset	Blaricum
M.H.J. Verjans	
Nel Noordzij	Rotterdam
G. Quispel	Rotterdam
Jan van Gelder	
Lies Wolters	
Bernhard prins der Nederlanden	Jena
Fernán Silva Valdés	Montevideo
J.A. van Praag	Amsterdam
Pablo Neruda	Parral
Ventura García Calderón	Parijs
José Gorostiza	Mexico
A. Methöfer	
Rufino Blanco Fombona	Venezuela
Joaquín E. Weiss y Sánchez	
Menotti del Picchia	São Paolo
Martha de Castro	
W.H. van Helsdingen	Ambon
A.I. Spits	
E.P.M. Tervooren	
A. Jonkers	
R.A.J. van Lier	Paramaribo
J. van de Walle	Den Haag
Henk Dennert	
W.J. Jansen	
Frans Debrabandere	Kuurne
E.H. Kossmann	Leiden
Piet Apol	Amsterdam
P.A.H. de Boer	Woubrugge
Th. Govaart	Leiden
J.M. de Jong	Leiden
Franz Hellens	Brussel
Marcel Coole	Kortrijk
Bert van Aerschot	Lier
Paul Snoek	Sint-Niklaas
Elisabeth Eybers	Klerksdorp
Willem Elsschot	Antwerpen
J. Bruyn	
Reindert Jacobsen	
E.M. Janssen Perio	
Ary Delen	Leuven
Gerrit-Hugo Pronk	
Aleida Gerarda Schot	Amsterdam
Willem van Elden	Den Haag
Antonio Machado	Spanje
Martin Adán	Peru
Manuel Bandeira	Recife
Augusto Roa Bastos	Iturbe
Carlos Drummond de Andrade	Itabira
Cecília Meireles	Rio de Janeiro
José-Maria de Heredia	La Fortuna
Jules Supervielle	Montevideo
Erik Lindegren	Luleå
Amy van Marken	Hilversum
Sybren Polet	Kampen
Gunnar Ekelöf	
Artur Lundkvist	Oderljunga
Edith Södergran	Raivola
August von Platen	
Attila József	
Sándor Weöres	
David Rokeah	
Pham Van Ky	
Makhali-Phal	Phnom Penh
Pierre Brachin	
Waring Cuney	
Leslie M. Collins	
Owen Dodson	
Don Maquis	
Charles Causley	Launceston
S.A. Bonebakker	Varsseveld
Ed. de Jonghe	
Pieter Lieftinck	
J. Prins	
Egbert Krispyn	Haarlem
Dick Voerman	
Li Tai Po	
Gerrit Borgers	Brummen
Cenne de la Chitarra	Arezzo
G.J. Resink	Yogyakarta
B.M. Baxter	
Chr.J. van Geel	Amsterdam
Heere Heeresma	Amsterdam
Beb Vuyk	Rotterdam
J.L. Heldring	Amsterdam
W. Banning	Makkum
Henri Schadee	
L.G. Kortenhorst	
P.M. Boer-den Hoed	Leiden
L.J. Hartog	
Fred Pfeifer	Rotterdam
Theo Joekes	Den Haag
Victor Varangot	
S.F. Witstein	Rotterdam
Ton van Oudwijk	Utrecht
Wilfred Smit	Soerabaja
Saskia Ferwerda	Renkum
Catharina Kortebos	Amsterdam
Th.G. Sinnige	
J.G.M. Moormann	Goor
Catharina van der Linden	Schiedam
Walter Debrock	Oostende
B.H.D. Hermesdorf	Chevremont
H. Bianchi	Rotterdam
C.J.E. Dinaux	Ommen
Victor Spoor	
C.P. Gunning	
Corly Verlooghen	Paramaribo
Louise van Santen	Amsterdam
Roger Pieters	Halle
F. van der Blij	Leiden
S. Carmiggelt	Den Haag
Claude Korban	Beveren
C.J. Greshoff	
A. Middeldorp	Scherpenzeel
Fokke Sierksma	Dantumawoude
Jaap Harten	Blaricum
Mia van der Haegen	
Marcel Leemans	
Marcel van de Velde	Brugge
Lode de Visscher	Wetteren
C.O. Jellema	Groningen
B. Nieskens-Isphording	
Ivo Schöffer	Amsterdam
Willem Brakman	Den Haag
G.W. Ovink	Leiden
Wim Hijmans	Groningen
P. Gros	
J.I.S. Zonneveld	Kampen
Eddy de Vries	
Paul R. Rijkens	Amsterdam
A. Schaafsma	
B.J. van Eyk	Amsterdam
J.M.J. Kooy	Rotterdam
H.F. van Panhuys	
Maarten Rooij	Rotterdam
H. Nieuwenhuis	
J. Kassies	
Hella S. Haasse	Batavia
Arie Querido	
J. Droogleever Fortuyn	Rotterdam
M. Gruber	Dresden
Nol Gregoor	Den Haag
H.W.F. Stellwag	Groede
Sigmund Freud	Freiberg
H.P.H. Jansen	Amsterdam
H. van Riessen	Bloemendaal
Henri Sandberg	Batavia
Jan Wolkers	Oegstgeest
Max Nord	Gorinchem
K. Schippers	Amsterdam
Jacques Hamelink	Driewegen (bij Terneuzen)
B.V.A. Röling	
C.A. Zaalberg	Arnhem
A.J. Dekker	
M.D. Ozinga	Pernis
Karel De Clerck	Etterbeek
Willem van Toorn	Amsterdam
Lizzy Sara May	Amsterdam (Sloten)
François Meyer	
H.A. Combé	
Marcus de Jong	
Tj.S. Visser	Amsterdam
G.A. van Poelje	Naaldwijk
R.A. Cornets de Groot	Bandoeng
H. Leffelaar	
Paul Rodenko	Den Haag
Jan Aler	
Martin J. Klein	
Burny Every	Aruba
Bernardo Ashetu	Kasabaholo
E. Eijkemans	
Han Lammers	
Marko Fondse	Haarlem
Ger Harmsen	
L.H. Janssen	Maastricht
Hans Sleutelaar	Rotterdam
Jakobus Kloek	
F.E. Frenkel	
Leo Ross	Zwartsluis
Ewald Vanvugt	's-Hertogenbosch
C.B. Vaandrager	Rotterdam
K. Rijsdorp	
P. Hummelen	
G. Puchinger	Amsterdam
H. van der Linde	
Albert Besnard	Den Haag
W. Boswinkel	Amsterdam
J. Brugman	
Floris Evers	
Hendrik van Teylingen	Haarlem
W. Gortzak	Amsterdam
Carl Friedrich von Weizsäcker	
Jan Hanlo	Bandoeng
James Brockway	Birmingham
O.M. de Vaal	Rotterdam
David Maarschalk	Den Haag
Joris Diels	
Bertram Joseph	
Ben Jonson	
John Milton	
N. Brugman-Begemann	
Samuel Johnson	
Erik Vos	Hellendoorn
Coenraad van Emde Boas	Rotterdam
Neeltje Maria Min	Bergen
J.A.G. Tans	Maastricht
H.C.J. Duijker	Leiden
Ton Lathouwers	
A.M. Meerloo	
Huug Kaleis	
D.U. Stikker	Winschoten
S.C. Derksen	
S.R. de Groot	
H.J.A. Hofland	Rotterdam
Frits Kief	
Nico Scheepmaker	Amsterdam
Abram de Swaan	
Henk Sneevliet	Rotterdam
Wim Klinkenberg	
Sem Davids	Amsterdam
J.W. Holsbergen	Rotterdam
Henk van Kerkwijk	Amsterdam
Bob den Uyl	Rotterdam
Herman Gorter	Wormerveer
Helen Knopper	Naarden
H.M. Voetelink	
Michaël Slory	Totness
R. Roegholt	Semarang
Peter van Lieshout	Hertogenbosch
Peter Schat	
J.H. Donner	Den Haag
G.A.C. Hubers	
Wim Zaal	
Mark Insingel	Lier
Eldert Willems	Schaarbeek
Rommert Boonstra	Groningen
Willem Frederik Hermans	Amsterdam
Harry Mesterom	
Marianne Meester	
Sonja Prins	Haarlem
J.H. Mak	
Martin Hartkamp	Amsterdam
H.C. ten Berge	Alkmaar
Henry Faas	Amsterdam
Benno J. Stokvis	
Frank Diamand	
Arnold de Vos	
Paul Steenhauer	
Hans Vlek	Amsterdam
Cees de Jong	
H.A. Gomperts	Amsterdam
A.J. Westerman Holstijn	
Joop den Uyl	Hilversum
J. Sperna Weiland	Zwollerkerspel
J.W. Hingst	Bergum
Henriette van Duin	
Alette Beaujon	Curaçao
Simon Koster	Rotterdam
Judith Herzberg	Amsterdam
Frits Dekking	Rotterdam
Milo Anstadt	Lwów
Ferenc Karinthy	Boedapest
Bart Tromp	Sneek
Wim van Rees	
Misha Mengelberg	Kiev
L.H.C. Hulsman	
Jan J. Klant	Warmenhuizen
Dick Hillenius	Amsterdam
Teo Anton van Kooten	
Bas van de Werk	
Aad van der Mijn	
Fenna van den Burg	Apeldoorn
Paul van 't Veer	
Jan Rogier	
L.H. Wiener	Amsterdam
Johan T. van Minnen	Noordwolde
Arend Heyting	Amsterdam
G.M.N. Verschuuren	
A.J. Cuppen	
Johan Jansen	
Huib Riethof	
David Kettler	
Kees Ouwens	Zeist
Nic Brink	
Theo de Boer	Zuid-Beijerland
K. Zickhardt	
Riekus Waskowsky	Rotterdam
Hans Gruyters	Helmond
Henri van Praag	Amsterdam
C.J. Dippel	
Hein Ruygers	
H. Linnemann	
M.G. Plattel	
Aad Nuis	Sliedrecht
Monika Warnenska	
Thierry de Beaucé	Lyon
Enno Endt	Enschede
Jan van Harten	
Jan van der Vegt	Scheveningen
Abraham Sutzkever	
Kees Simhoffer	Den Haag
Ben Wolken	Nijmegen
H. Ramaer	
Peter Weibel	Polen
Bea Vianen	Paramaribo
E. Land	
R.A. Maandag	
E.M. Barth	Strinda
J.S. Henriksson	Leeuwarden
Tiele Rümke	
Herma Vergouwe	
Rutger Kopland	Goor
Arnold Spauwen	Maastricht
Aryiris Chionis	
H.M. Ruitenbeek	
M.C. Brands	Haarlemmermeer
A.G. van der Spek	
H. Schaafsma	
H. Daudt	Amsterdam
Johan Goudsblom	Bergen
Loden Vogel	Amsterdam
L.J. Zimmerman	Amsterdam
Jos Ruting	Amsterdam
Klaus Siegel	Düsseldorf
Wilna Burger	Rijswijk
Luk Wenseleers	
Theo Stibbe	
J. van der Gaag	Utrecht
Nicolás Guillén	Carmaguey
Jacques Vallier	
Lucas van der Land	Amsterdam
Alejo Carpentier	
Constance E. van der Maesen	
Heberto Padilla	
R.J.A. van Suchtelen van de Haere	
Louis Ferron	Leiden
A.L.R. Fernhout	
Bastiaan Willink	
Hans Knoop	
Thera Coppens	Amsterdam
Wiek Röling	
Huub Oosterhuis	Amsterdam
Wessel te Gussinklo	Utrecht
Tom van Deel	Apeldoorn
Gerard Termorshuizen	
Hans van de Waarsenburg	Helmond
Jules Dister	
Frans Brüggen	Amsterdam
T.M.T. Coolen	Berlijn
Astère Michel Dhondt	Mechelen
Wim Rouw	
Jane Debrot	
Pieter A.M. Seuren	
S.C. Dik	Delden
A. van Dantzig	Gouda
Hendrik Conscience	Antwerpen
Peter Collier	
Orlando Emanuels	Paramaribo
Roel van Duyn	Den Haag
Oscar Timmers	Heerlen
Ho Chi Minh	Vietnam
Konrad Boehmer	Berlijn
Hans Keller	Haarlem
Vasilis Vasilikos	
Kenneth Keniston	
L.L. Coïni	
Gerrit Bakker	Alkmaar
Leo Haring	
Jan Geurt Gaarlandt	Rotterdam
Jacques L. Schmitz	
Robert Paul Flipse	Amsterdam
Louis Andriessen	
Lieuwe Brouwers	
César Vallejo	Santiago de Chuco
Oswaldo Salazar	
Karen Spalding	
Percy B. Lehning	
J.F. Glastra van Loon	Batavia
Bertus Dijk	
Nicanor Parra	
Walter Haesaert	Merendree
Reinjan Mulder	Geldermalsen
Kees Fens	Amsterdam
F. Tichelman	Madioen, Java
J.D. van der Meulen	
Judicus Verstegen	Den Helder
António Jacinto	
Godfried Bomans	Den Haag
Charles Bettelheim	Parijs
Johanna Fortuin	
Willem van Malsen	Utrecht
Mark Brusse	Alkmaar
Klaas de Jonge	
Aart J.M. van de Laar	
Go Mandersloot	
W.G. Wolters	
D. van Arkel	
E. Mandel	
Mary McCarthy	
Hans Tentije	Beverwijk
H.G. Matthes	
G.A. Lindeboom	
Silvia W. de Groot	
R. Dobru	Paramaribo
Rodney Russell	Paramaribo
Ch.J. Wooding	Paramaribo
Judith Allard-de Kom	Den Haag
H.F. de Ziel	Paramaribo
Pieter Polanen	Paramaribo
Shrinivási	Kwatta, Beneden-Suriname
A.F. May	
Jo Löffel	Nieuw-Nickerie
Thea Doelwijt	Den Helder
Paul Marlee	Paramaribo
Jozef Slagveer	Totness
Edgar Cairo	Paramaribo
R. de Jong	
Gerrit Huizer	
Michael Wilson	Kaapstad
Wim Huyskens	
Wouter Donath Tieges	Amsterdam
F.A. Snellaert	Kortrijk
G.P.F. Buddingh'	Waalwijk
Norbert Elias	Wroclaw
Anton Korteweg	Zevenbergen
Hugo Brandt Corstius	Eindhoven
P.Th. Hugenholtz	Amsterdam
P.A. Verburg	
Ans van Haersolte	Arnhem
Lodewijk Prins	
Ed. Ebels	
Anneke Jansen	
R. Sierksma	
Reinbert de Leeuw	
Kees Winkler	Hoorn
Cyrille Offermans	Geleen
Rob Vermeulen	
Wijnand Steemers	
Dirk Kroon	Schiedam
Geert Evert Booij	Hoogeveen
Theo de Jong	Haarlem
Reinout Bakker	Minnertsga
A. Ladan	
C. van de Haar	
H.J. Vieu-Kuik	
H. de Lange	
O.J. de Jong	Culemborg
H.F.J.M. van den Eerenbeemt	Roosendaal
W.M. Zappey	
Rob Rentenaar	
W. Burger	
Peter Harper	Groot-Brittannië (en Noord-Ierland)
Ivan Illich	Wenen
C. Schepel	
John H. Schaar	
Bart van Steenbergen	
Bram van der Lek	
J.J.G. Syatauw	Bandung
A. van 't Laar	
J.Th.M. Palstra	
Hugh P. Gallacher	
C.J. Stigter	
J. Hetterschij	
H.H. ter Balkt	Enschede
H.M.A. Struyker Boudier	
Fred Bornstein	
Bouke B. Jagt	Padang
Fons Elders	
Peter Berger	Abcoude
A.L. Vos	Amsterdam
Friedhelm Debus	Oberdieten
Mischa de Vreede	Batavia
Camiel Hamans	
Dolph Kohnstamm	Amsterdam
J.R. Slotemaker de Bruine	Sliedrecht
Matthijs Siegenbeek	Amsterdam
H. Baudet	Den Haag
C.D. Saal	
S.J. Doorman	Den Haag
J.M.W. van Ussel	
J. van Baal	Scheveningen
E.V.W. Vercruijsse	
Jan Donkers	Amsterdam
Adam Szirmai	Boedapest
Eddy van Vliet	Antwerpen
H.J. Verkuyl	
Raymond ten Berge	
Jan W.H. Wentink	
W.E. Krul	
Marianne Vos	
Rob Bognár	
Berend Lasseur	
Derek Phillips	
M.C.A. Brongers	
Paul Goodman	Verenigde Staten
Sorin Alexandrescu	Boekarest
Adrian Pâunescu	
Jacques van Alphen	
Ad Kooyman	
Peter Hofstede	
J.Th. Snijders	
Tessel Pollmann	
Hermann H. Frese	
Alvin W. Gouldner	New York City
Hidde van der Ploed	
P. Schumacher	
Hessel Miedema	Sneek
Julio Cortázar	
E. van der Starre	Rotterdam
Armando	Amsterdam
Jacob Groot	Venhuizen
Samuel de Lange	
Eva Vondeling	
Józef Lewandowski	
Annie Gransch	
Nadjezjda Mandelstam	
I.F. Fedorov	
Bessie Schadee	
Joeri Galanskov	Moskou
Esselien 't Hart	Wageningen
Aleksander Ivanov	
Michail Kalik	
Vikentij Gerasimtsjoek	
Adam Tern	
Jos J.B. van der Putten	
Franco Ferrarotti	Palazzolo Vercellese
Alexander Münninghoff	
Guy Desrole	
Els de Graaf	
A.P. van Goudoever	
Michel Korzec	Lodz
Nico Wilterdink	
Han de Vries	Amsterdam
Laurens van Krevelen	
Gerbrand Muller	Leiden
Ruud A.J. Kraaijeveld	Alblasserdam
Hugues C. Pernath	Borgerhout
Willy Lauwens	
C.W. Aakster	
A.J. Dunning	Arnhem
Hilbert Kuik	Amsterdam
P. Hirschler	
Chris Mast	
C.J.B.J. Trimbos	Vught
G.A. Ladee	
J.H. de Haas	Middelharnis
R.A. Basart	Amsterdam
Marcel van der Linden	
Bert Menco	
Tim Krabbé	Amsterdam
Willem M. Roggeman	Brussel
Noam Chomsky	Philadelphia
Robert S. Cohen	New York
José Cardoso Pires	Portugal
August Willemsen	Amsterdam
Hans Faverey	Paramaribo
Anton Haakman	Bussum
Francisco Marinho	
Jan Stroop	
Hans Plomp	Amsterdam
Gerben Hellinga	Samedan
Antal Sivirsky	Boedapest
Maarten 't Hart	Maassluis
Boris Tomas	
E.C.P. van Waalwijk van Doorn	
H.R. van Gunsteren	
J.H. Kamstra	Arnhem
Anton Blok	Amsterdam
Esteban López	Etterbeek
Peter Zonderland	
Cor Blok	Den Haag
Lidy van Marissing	Bussum
H.E. Ruitenberg	
Jak van der Meulen	
Jean Améry	Wenen
P.R. Baehr	Amsterdam
Martin Mooij	Rotterdam
Hans Carl Artmann	Wenen
Elisaveta Bagrjana	
Keorapetse Kgositsile	Johannesburg
Michael Krüger	Wittgendorf
Philip Levine	
Czeslaw Milosz	Szetejnie
János Pilinszky	
Waldo Rojas	Concepcion
Sapardi Djoko Damono	Solo
Mongane Wally Serote	Sophiatown
Charles Tomlinson	Stoke-on-Trent, Staffordshire
Kazuko Shiraisi	
Raymond Benders	
Martin Lusse	
Ruud Löbler	
P.A. Wackie Eysten	
Daniel de Lange	
Gust Gils	Antwerpen
V.S. Naipaul	Chaguanas
George Huppert	
Breyten Breytenbach	Bonnievale
Adriaan van Dis	Bergen
Charles Vergeer	
Hans van den Bergh	Amsterdam
Paul Kapteyn	Schagen
F.B. Hotz	Leiden
Pier Boorsma	Sneek
Jack ter Heide	
Grahame Lock	
Ton Korver	
M. Fennema	Leeuwarden
Margriet Poort	
Elmer Schönberger	
Jules A. Deelder	Rotterdam
Christine Brinkgreve	Amsterdam
Alex Korzec	Lodz
J.J. Witkam	
Siep Stuurman	
Emil Bentzen	
Arie Gelderblom	Nieuw-Lekkerland
Maria van der Moer	
Peter Nijmeijer	Amsterdam
Paul Celan	Czernowitz
J.W. Niemeijer	Sneek
Jaime Mendizábal	
Frans de Rover	Rotterdam
Magda van Emde Boas	Praag
Stefan Morawski	
Sjoerd Kuyper	Amsterdam
Hans van Lier	
F.G. Droste	Arnhem
Pieter de Meijer	
Alex van Gelder	
Fernando Schellen	
A.K. Koekkoek	Willemstad
C.J.M. Schuyt	Leidschendam
Cees Cruson	
Philip Ramp	Holland, Michigan
John Berger	
Loek Esmeijer	
Arthur Mitzman	Newark, New Jersey
B.J.S. Hoetjes	
Petrus Adrianus Johannes Bentvelzen	
J.J. van der Werff ten Bosch	Rotterdam
M.B. ter Borg	Groningen
Louis Boon	
August Heyting	
Hans Magnus Enzensberger	Kaufbeuren
Leo Damen	
R.Th.R. Wentges	
Ampie Coetzee	
Gérard van den Eerenbeemt	Venlo
Leo Fretz	
W. van Dort	
Marcel Baudet	
Godert van Colmjon	Amersfoort
Walter van der Star	
Dick Pels	
R.H.J. Egeter van Kuyk	Jakarta
Lloyd Haft	Wisconsin
H.J. Smeding	
Patrick Conrad	Antwerpen
Marcel van Maele	Brugge
Hugo Raes	Antwerpen
Toon Tellegen	Brielle
E.J. Dommering	Amsterdam
Leendert Witvliet	Werkendam
Th.J. de Jong	
Joyce van Lankeren	
J.N. Swallow	
Margreet Hirs	
Erika Dedinszky	Hongarije
W. van Drimmelen	Delft
Botto van den Bergh	Den Haag
Carlo Ginzburg	Turijn
Peter van Gestel	Amsterdam
Freek Bruinsma	
I. van der Sluis	
J.J. Klinkert	
F. Vos	
Akira Nagazumi	
Rudy Kousbroek	Pematang Siantar (Sumatra)
Ango Sakaguchi	
Jan Noordhoek	
E.G. de Poorter	
M.J. de Meijer	
Wim Markus	
Jaap Oostermann	
J.H. van Geemert	
Pieter Spierenburg	
Jacques Kruithof	Rotterdam
J.M.A. Biesheuvel	Schiedam
Pieter Lukkenaer	
Lela Zeckovic	Varazdin
Ben Cami	Durham
José Boyens	
A.H.G. Rinnooy Kan	
Marcel van Herpen	
H.T. Boonstra	
A.J. Kox	
Constantijn Huygens	Den Haag
Ph. de Vries	
H.J.M. Bos	
J. Lodewijks	
Dick van den Bosch	
Emma Brunt	
J.W. Bezemer	Pijnacker
Martin Veltman	Leeuwarden
John Kleinen	
Edzard Dideric	
Remco Ekkers	Bergen
Alfred Pijpers	
J. Popken	
Michael Masuch	Berlijn
Frida Balk-Smit Duyzentkunst	Amsterdam
Ida van Heteren	
J.M. van der Horst	Leiden
Elly de Waard	Bergen
Frans H. van Eemeren	
J.H. Maureau	
Ad Teulings	
Frans de Cort	Antwerpen
G. Dijkink	
J. Beijk	Haarlem
Tsjow Meng-Tiè	
Erik K. de Vries	
L.C. Suttorp	Schiedam
Willem Bijsterbosch	Hertogenbosch
Hans Verhagen	Vlissingen
G.J.H. van Gelder	
Sadiq Galal al'Azm	
A.H. de Groot	
R. Kruk	
G.H.A. Juynboll	Leiden
J.J.G. Jansen	Amsterdam
Usama ibn Munqidh	
C.A.O. van Nieuwenhuijze	
Roel Otten	
C.G. Brouwer	
F. de Jong	
P.S. van Koningsveld	
L.I. Graf	
R.J. Spruit	
Octavio Paz	
Steef Davidson	Amsterdam
Isaak Kaplanas	St. Petersburg
R. Kroes	
Anthony Mertens	Eindhoven
W.A.M. de Moor	Zevenaar
Rabin Gangadin	Paramaribo
Jan Siebelink	Velp
Aleid Truijens	
Jérôme Vervaecke	
Klaas Ruitenbeek	
Lu Xun	
Cita Golterman-van Dijk	Den Haag
Peter Reinhart Gleichmann	
Albert Jan Govers	
Herman Roodenburg	
E.E.G. Vermeulen	
Philippe Noble	Le Puy
Pim den Boer	
Margot de Hartog	
Michel Huisman	
Frans W. Saris	
R. Vanderauwera	
Maarten van Rossem	
Jacobus Bos	Rotterdam
Henk Tromp	
M.J. Weggelaar	
K. van der Arren	Buenos Aires
Lea Dasberg	Amsterdam
Carolijn Visser	Leiden
Rob Delvigne	Amsterdam
J.E. Ellemers	Soerabaja
E. van den Boogaart	
Dhiravat na Pomberja	
Maria Bogucka	
Han ten Brummelhuis	
Hendrik Henrichs	
Louis Emmerij	Rotterdam
A.B. Lapian	
Willem Otterspeer	Ouderkerk aan den IJsel
A.M.J. de Keijser	
Peter van Seters	
R. Lindeman	
M.K. van der Steeg	
Arie Rip	
Berend Lantink	
Gunther S. Stent	Berlijn
Nelleke van Maaren	Beverwijk
W.A. Verloren van Themaat	
Manuel Kneepkens	Heerlen
Jeroen Henneman	Haarlem
Rien Goettsch	
Nel Veenboer	
Beate Zilversmidt	
A.J. van der Staay	
Ilja Scholten	
Jan W. Boersma	
L.P.J. Veelenturf	
J.D. Querido	
Herman de Lange	
Herman Franke	Groningen
Jean-Paul Franssens	Groningen
G.L. Durlacher	Baden-Baden
Herbert van Erkelens	Alkmaar
Ron Hey	
F.L. van Holthoon	
Wim Neetens	
Paul Casparie	
Helga Nowotny	
Rien van den Broek	
Jan Paul Hinrichs	
C.W. Mönnich	
W. Albeda	Rotterdam
Hans van de Braak	
Kees Nijland	
P. Smoor	
Lourina de Voogd	
Ed de Moor	
Frank Loog	
