Author	POB
Robert Fruin	Rotterdam
Aart Veder	Rotterdam
B.W. Wttewaall van Wickenburgh	Utrecht
W.C.A. Staring	Laren
A.S. Carpentier Alting	Purmerland
Abraham Seyne Kok	Amsterdam
P.J.B.C. Robidé van der Aa	Oosterbeek
J. Wttewaall	Utrecht
W. Ruys	Ouderkerk aan de Amstel
Frederik Nagtglas	Utrecht
P.C. Margadant	Den Haag
Sijo Kornelius Thoden van Velzen	Oudkerk
Hendrik de Veer	Sommelsdijk
W.J.A. de Witt Huberts	Harderwijk
Nicolaas Jacob Bernard Kappeyne van de Coppello	Den Haag
T.T.H. Jorissen	Utrecht
Mon Steyaert	
H.P.G. Quack	Zetten
S.J. Hingst	Amsterdam
Johan Willem Tydeman	Leiden
Abraham Dirk Loman	Den Haag
Johannes van Dam	Utrecht
Samuël Senior Coronel	Amsterdam
Hippoliet Bauduin	Brussel
Tobias Michael Carel Asser	Amsterdam
Simon Frederik Groen	Maastricht
F.P.J. Sibmacher Zìjnen	Zaltbommel
T.J. Halbertsma	Deventer
Steven Blaupot ten Cate	Noordbroek
Johannes Philippus Heukelom	Amsterdam
W.H. van de Sande Bakhuyzen	
Abraham Willem de Klerck	Utrecht
Willem baron van Goltstein	Hamburg
Julius Christiaan van Deventer	Amersfoort
Otto van Rees	Luik
J. Limburg	
Eelco Verwijs	Deventer
Firmin van der Poorten	Aalst
Lodewijk Mulder	Den Haag
N.J. den Tex	Amersfoort
L.R. Beynen	Den Haag
Herman Agatho des Amorie van der Hoeven	Amsterdam
Pieter Bleeker	Zaandam
J.F.B. Baert	Harmelen
J. Beckering Vinckers	Winschoten
Samuel van Houten	Groningen
Gerrit Kuyper Hzn	Amsterdam
P.A. Tiele	Leiden
Thomas Kroon JHz.	Zutphen
Henri Ernest Moltzer	Wassenaar
R.S. Tjaden Modderman	
H.A. Wijnne	Hoogeveen
Isaäc Dornseiffen	Utrecht
Jan Willem Nicolaas Mosselmans	Loosduinen
Izaak Jan Blaupot ten Cate	Uteringeradeel
